,chain,pool_address,pool_name,pool_symbol,pool_assetType_mapped,pool_poolType,pool_coinNames,latest_tvl_usd,avg_daily_volume_usd,totalDailyFeesUSD,days_of_trading
0,arbitrum,0x0a824b5d4c96ea0ec46306efbd34bf88fe1277e0,Curve.fi Factory Pool: deBridge-ETH,deETH+ETH-f,ETH,STABLE_FACTORY,"ETH,deETH",58310.85122323223,7985.613702091867,3.194245480836747,179
1,arbitrum,0x15a1c069fcf6f79a3d5bb5d4a8ba004fbf4fabac,Curve.fi Factory Plain Pool: axlUSDC/USDC,axlUSDC-f,USD,STABLE_FACTORY,"USDC,axlUSDC",100424.12978877651,21366.730075885964,8.546692030354388,66
2,arbitrum,0x2cb445366fbe025569d6883aa931e79def202802,Curve.fi Factory USD Metapool: Chromium Dollar,Cr3CRV-f,USD,STABLE_FACTORY,"2CRV,Cr",436597.6811430273,70215.24524028353,28.086098096113417,9
3,arbitrum,0x2ce5fd6f6f4a159987eac99ff5158b7b62189acf,Curve.fi Factory USD Metapool: dForce,USX2CRV3CRV-f,USD,STABLE_FACTORY,"2CRV,USX",1497406.036558518,54894.71726045593,21.957886904182374,179
4,arbitrum,0x305fc0a3eed959a3bbdc54300a1a140925b4b058,Curve.fi Factory Pool: ETHMAXY/ETH,crvETHMAXY-f,ETH,STABLE_FACTORY,"ETH,ETHMAXY",59410.72598936021,103.72099998104383,0.10372099998104384,73
5,arbitrum,0x30df229cefa463e991e29d42db0bae2e122b2ac7,Curve.fi Factory USD Metapool: MIM,MIM3CRV-f,USD,STABLE_FACTORY,"2CRV,MIM",10511721.230014885,450144.0835950054,180.05763343800217,179
6,arbitrum,0x37c9be6c81990398e9b87494484afc6a4608c25d,Curve.fi Factory Plain Pool: Aave aDAI+aUSC+aUSDT,a3CRV-f,USD,STABLE_FACTORY,"aArbDAI,aArbUSDC,aArbUSDT",76218.88221456863,17378.802148620427,6.951520859448172,179
7,arbitrum,0x3e01dd8a5e1fb3481f0f589056b428fc308af0fb,Curve.fi WBTC/renBTC,btcCRV,BTC,REGISTRY_V1,"WBTC,renBTC",441233.41391778877,63580.84784615589,25.43233913846236,179
8,arbitrum,0x59bf0545fca0e5ad48e13da269facd2e8c886ba4,Curve.fi Factory Plain Pool: VST+FRAX,VSTFRAX-f,USD,STABLE_FACTORY,"FRAX,VST",4590213.981885948,404247.56847231416,161.69902738892569,179
9,arbitrum,0x6eb2dc694eb516b16dc9fbc678c60052bbdd7d80,Curve.fi ETH/wstETH,wstETHCRV,ETH,REGISTRY_V1,"ETH,wstETH",11913080.75256005,3819372.785770146,1527.7491143080586,86
