,date,protocol,chain,usd_value,net_dollar_flow,net_dollar_flow_latest_price,rank_desc,mark_at_latest_price,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
272419,2023-01-06 00:00:00,qidao,Polygon,22804805.48743,-4333.90071420713,-4333.90071420713,1,1,-11401886.305122495,-1,11401886.305122495,-4333.90071420713,-1,4333.90071420713,-522471.66892326006,-1,522471.66892326006,2953401.7847529585,1,2953401.7847529585,-2285958.289551746,-1,2285958.289551746,-13386093.805526808,-1,13386093.805526808,-11748921.58382747,-1,11748921.58382747,-0.019004330980134754
272420,2023-01-06 00:00:00,qidao,xDai,47423.60215,0.0,0.0,1,1,45990.69439270807,1,45990.69439270807,0.0,1,0.0,1255.1200081389943,1,1255.1200081389943,-1414.4492274316115,-1,1414.4492274316115,-573096.014823092,-1,573096.014823092,-1279977.6089882029,-1,1279977.6089882029,45990.69439270807,1,45990.69439270807,0.0
272421,2023-01-06 00:00:00,quarry,Solana,28789165.44266,517557.9344699148,517557.9344699148,1,1,-184737427.63581067,-1,184737427.63581067,517557.9344699148,1,517557.9344699148,-798216.5191269272,-1,798216.5191269272,-6689880.447331278,-1,6689880.447331278,-28254567.544232883,-1,28254567.544232883,-64167074.24958395,-1,64167074.24958395,-184737427.63581067,-1,184737427.63581067,1.7977524756691752
272422,2023-01-06 00:00:00,quickswap-dex,Polygon,125013729.68719,-124811.78220000863,-124811.78220000863,1,1,125013729.68719,1,125013729.68719,-124811.78220000863,-1,124811.78220000863,-4517725.6693100035,-1,4517725.6693100035,-33078659.44472,-1,33078659.44472,-117954843.3136,-1,117954843.3136,-170324871.30162996,-1,170324871.30162996,125013729.68719,1,125013729.68719,-0.09983845975343134
272423,2023-01-06 00:00:00,quickswap-v3,Dogechain,1444490.68062,-191.9279979091225,-191.9279979091225,1,1,-17379.749378662036,-1,17379.749378662036,-191.9279979091225,-1,191.9279979091225,3899.6189823175337,1,3899.6189823175337,18256.767413709702,1,18256.767413709702,-17379.749378662036,-1,17379.749378662036,-17379.749378662036,-1,17379.749378662036,-17379.749378662036,-1,17379.749378662036,-0.01328689762309465
272424,2023-01-06 00:00:00,quickswap-v3,Polygon,33557313.83679,247877.05316803022,247877.05316803022,1,1,8793129.117238639,1,8793129.117238639,247877.05316803022,1,247877.05316803022,958713.4900334424,1,958713.4900334424,-454295.47218208376,-1,454295.47218208376,8793129.117238639,1,8793129.117238639,8793129.117238639,1,8793129.117238639,8793129.117238639,1,8793129.117238639,0.7386677443063823
272425,2023-01-06 00:00:00,radiant,Arbitrum,28183493.172030002,70520.87804751046,70520.87804751046,1,1,15650648.796337241,1,15650648.796337241,70520.87804751046,1,70520.87804751046,1245372.940670461,1,1245372.940670461,3091368.3007830665,1,3091368.3007830665,-11701394.307452397,-1,11701394.307452397,15650648.796337241,1,15650648.796337241,15650648.796337241,1,15650648.796337241,0.2502205018272793
272442,2023-01-06 00:00:00,renvm,Avalanche,276491.82333,0.0,0.0,1,1,-2466013.2433843412,-1,2466013.2433843412,0.0,1,0.0,-179.16697633079653,-1,179.16697633079653,-102444.84993512336,-1,102444.84993512336,-1173822.7223643817,-1,1173822.7223643817,-2052790.694666746,-1,2052790.694666746,-2510980.86520082,-1,2510980.86520082,0.0
272433,2023-01-06 00:00:00,realt-tokens,xDai,62634965.8935,0.0,0.0,1,1,33618566.48150001,1,33618566.48150001,0.0,1,0.0,0.0,1,0.0,1142501.4601000017,1,1142501.4601000017,5780710.335399998,1,5780710.335399998,12543443.913,1,12543443.913,33618566.48150001,1,33618566.48150001,0.0
272434,2023-01-06 00:00:00,reaper-farm,Fantom,9042879.22581,-137610.14708999917,-137610.14708999917,1,1,-9779247.8733,-1,9779247.8733,-137610.14708999917,-1,137610.14708999917,399578.82007000037,1,399578.82007000037,-3291038.180469999,-1,3291038.180469999,-109056.53814999945,-1,109056.53814999945,-9779247.8733,-1,9779247.8733,-9779247.8733,-1,9779247.8733,-1.5217514649231974
