,date,token,token_value,usd_value,protocol,chain,last_token_value
18719,2022-10-18 21:59:47,LUSD,256.21387,263.90029,uniswap,Optimism,
12167,2022-10-18 21:59:47,PERP,2218028.69103,1311103.37561,uniswap,Optimism,
7487,2022-10-18 21:59:47,RETH,53.06743,72616.40457,uniswap,Optimism,
9827,2022-10-18 21:59:47,LYRA,8865023.63668,1113712.91948,uniswap,Optimism,
12635,2022-10-18 21:59:47,SPANK,39410812.1697,107411.0157,uniswap,Optimism,
4211,2022-10-18 21:59:47,SLINK,,,uniswap,Optimism,
17315,2022-10-18 21:59:47,AAVE,334.3468,27443.18557,uniswap,Optimism,
3275,2022-10-18 21:59:47,WBTC,24.78681,479573.21171,uniswap,Optimism,
13103,2022-10-18 21:59:47,DHT,,,uniswap,Optimism,
1403,2022-10-18 21:59:47,0XBTC,,,uniswap,Optimism,
15911,2022-10-18 21:59:47,OP,5739345.68266,4273861.15605,uniswap,Optimism,
13571,2022-10-18 21:59:47,EST,72402.58675,771087.54889,uniswap,Optimism,
16847,2022-10-18 21:59:47,WSTETH,10.99318,15706.4001,uniswap,Optimism,
2339,2022-10-18 21:59:47,DAI,,,uniswap,Optimism,
14039,2022-10-18 21:59:47,XCHF,421680.32941,412032.70515,uniswap,Optimism,
5615,2022-10-18 21:59:47,USDC,7179307.34506,7186486.6524,uniswap,Optimism,
14507,2022-10-18 21:59:47,HND,,,uniswap,Optimism,
935,2022-10-18 21:59:47,SETH,,,uniswap,Optimism,
7955,2022-10-18 21:59:47,PAPER,,,uniswap,Optimism,
2807,2022-10-18 21:59:47,UNI,,,uniswap,Optimism,
9359,2022-10-18 21:59:47,SARCO,,,uniswap,Optimism,
5147,2022-10-18 21:59:47,LINK,,,uniswap,Optimism,
14975,2022-10-18 21:59:47,THALES,2042374.65489,1171299.8222,uniswap,Optimism,
467,2022-10-18 21:59:47,USDT,,,uniswap,Optimism,55899002.88412
4679,2022-10-18 21:59:47,SBTC,,,uniswap,Optimism,
8891,2022-10-18 21:59:47,BITANT,,,uniswap,Optimism,
3743,2022-10-18 21:59:47,SUSD,,,uniswap,Optimism,
15443,2022-10-18 21:59:47,EQZ,,,uniswap,Optimism,
16379,2022-10-18 21:59:47,CRV,23703.18087,21626.28446,uniswap,Optimism,
8423,2022-10-18 21:59:47,ENS,,,uniswap,Optimism,
6083,2022-10-18 21:59:47,RAI,,,uniswap,Optimism,
1871,2022-10-18 21:59:47,WETH,14169.06117,18638266.44872,uniswap,Optimism,
11699,2022-10-18 21:59:47,MKR,,,uniswap,Optimism,
7019,2022-10-18 21:59:47,RGT,,,uniswap,Optimism,
11231,2022-10-18 21:59:47,KROM,5623813.73586,115180.09189,uniswap,Optimism,
10763,2022-10-18 21:59:47,WPC,,,uniswap,Optimism,
17783,2022-10-18 21:59:47,BOB,999973.4029,999246.42223,uniswap,Optimism,
6551,2022-10-18 21:59:47,SNX,165584.54845,390779.53433,uniswap,Optimism,
18251,2022-10-18 21:59:47,AELIN,29.90058,30244.13706,uniswap,Optimism,
10295,2022-10-18 21:59:47,DCN,,,uniswap,Optimism,
14506,2022-10-18 00:00:00,HND,,,uniswap,Optimism,
1870,2022-10-18 00:00:00,WETH,,,uniswap,Optimism,
14974,2022-10-18 00:00:00,THALES,,,uniswap,Optimism,
934,2022-10-18 00:00:00,SETH,,,uniswap,Optimism,
7954,2022-10-18 00:00:00,PAPER,,,uniswap,Optimism,
7486,2022-10-18 00:00:00,RETH,,,uniswap,Optimism,
11230,2022-10-18 00:00:00,KROM,,,uniswap,Optimism,
5146,2022-10-18 00:00:00,LINK,,,uniswap,Optimism,
5614,2022-10-18 00:00:00,USDC,,,uniswap,Optimism,
9358,2022-10-18 00:00:00,SARCO,,,uniswap,Optimism,
7018,2022-10-18 00:00:00,RGT,,,uniswap,Optimism,
10294,2022-10-18 00:00:00,DCN,,,uniswap,Optimism,
466,2022-10-18 00:00:00,USDT,55899002.88412,55954901.887,uniswap,Optimism,54574265.70237
18718,2022-10-18 00:00:00,LUSD,,,uniswap,Optimism,
8890,2022-10-18 00:00:00,BITANT,,,uniswap,Optimism,
4678,2022-10-18 00:00:00,SBTC,,,uniswap,Optimism,
10762,2022-10-18 00:00:00,WPC,,,uniswap,Optimism,
15442,2022-10-18 00:00:00,EQZ,,,uniswap,Optimism,
3742,2022-10-18 00:00:00,SUSD,,,uniswap,Optimism,
18250,2022-10-18 00:00:00,AELIN,,,uniswap,Optimism,
16378,2022-10-18 00:00:00,CRV,,,uniswap,Optimism,
2806,2022-10-18 00:00:00,UNI,,,uniswap,Optimism,
14038,2022-10-18 00:00:00,XCHF,,,uniswap,Optimism,
15910,2022-10-18 00:00:00,OP,,,uniswap,Optimism,
16846,2022-10-18 00:00:00,WSTETH,,,uniswap,Optimism,
6550,2022-10-18 00:00:00,SNX,,,uniswap,Optimism,
8422,2022-10-18 00:00:00,ENS,,,uniswap,Optimism,
12166,2022-10-18 00:00:00,PERP,,,uniswap,Optimism,
