date,include_in_summary,program_name,app_name,num_op,period,op_source,start_date,end_date,cumul_net_dollar_flow_at_program_end,cumul_net_dollar_flow,cumul_flows_per_op_at_program_end,cumul_last_price_net_dollar_flow_at_program_end,cumul_flows_per_op_latest,cumul_last_price_net_dollar_flow,last_price_net_dollar_flows_per_op_at_program_end,last_price_net_dollar_flows_per_op_latest,flows_retention,last_price_net_dollar_flows_retention
2023-02-13,1,Rocket Pool - vWETH/rETH: Velodrome,rocket-pool,3071.4285714285716,During Program,Gov Fund - Season 1,2023-02-08,,5248403.881604441,5248403.881604441,1708.7826591270273,5433292.547336601,1708.7826591270273,5433292.547336601,1768.9789689002885,1768.9789689002885,,
2023-02-13,1,Dhedge - DHT/OP: Velodrome,dhedge,2714.285714285714,During Program,Gov Fund - Season 1,2023-02-03,,391609.89934620756,391609.89934620756,144.27733133807646,397106.0647409284,144.27733133807646,397106.0647409284,146.3022343782368,146.3022343782368,,
2023-02-13,1,Overnight - USD+/DOLA: Velodrome,overnight,2000.0,During Program,Gov Fund - Season 1,2023-01-30,,3213989.632189755,3213989.632189755,1606.9948160948775,3223260.0150939655,1606.9948160948775,3223260.0150939655,1611.6300075469828,1611.6300075469828,,
2023-02-13,1,Clipper,clipper,300000.0,During Program,Gov Fund - Phase 0,2023-01-23,,-911161.5212837597,-911161.5212837597,-3.037205070945866,-900978.8576138061,-3.037205070945866,-900978.8576138061,-3.003262858712687,-3.003262858712687,,
2023-02-13,1,Xtoken - Uniswap LM - Phase 2,xtoken,25000.0,Post-Program,Gov Fund - Phase 0,2023-01-16,2023-02-08,245588.38653298002,-2613573.6313608326,4.911767730659601,396904.02233768394,-104.5429452544333,-2556247.8692703038,7.938080446753679,-102.24991477081215,10.64208966986253,6.44046854001258
2023-02-13,1,Gamma - Uniswap LM - Phase 2,gamma,25000.0,Post-Program,Gov Fund - Phase 0,2023-01-16,2023-02-08,6003917.91098349,-410233.14547288907,120.0783582196698,6213306.53845778,-16.409325818915562,-349668.71568834595,124.26613076915561,-13.986748627533839,0.0683275740200268,0.05627739650764729
2023-02-13,1,Arrakis Finance - Uniswap LM - Phase 2,arrakis-finance,25000.0,Post-Program,Gov Fund - Phase 0,2023-01-16,2023-02-08,-942005.6781552313,-6057587.807718473,-18.840113563104627,-566205.2338304548,-242.3035123087389,-5856608.149237617,-11.324104676609096,-234.26432596950468,-6.430521543756825,-10.343613586220094
2023-02-13,0,Uniswap V3 - Uniswap LM - Phase 2*,uniswap-v3,100000.0,Post-Program,Gov Fund - Phase 0,2023-01-16,2023-02-08,-15193454.67284,-44992926.48861,-75.9672733642,-15193454.67284,-449.9292648861,-44992926.48861,-75.9672733642,-449.9292648861,-2.9613361449019155,-2.9613361449019155
2023-02-13,1,Defiedge - Uniswap LM - Phase 2*,defiedge,25000.0,Post-Program,Gov Fund - Phase 0,2023-01-16,2023-02-08,5534720.70276,-75431.79447000008,110.6944140552,5534720.70276,-3.017271778800003,-75431.79447000008,110.6944140552,-3.017271778800003,0.013628834862865709,0.013628834862865709
2023-02-13,1,Overnight - USD+/USDC: Velodrome,overnight,14571.42857142857,During Program,Gov Fund - Season 1,2023-01-10,,3465547.6834708117,3465547.6834708117,237.83170376760475,3705345.736510291,237.83170376760475,3705345.736510291,254.2884328977651,254.2884328977651,,
2023-02-13,1,Dhedge*,dhedge,350000.0,During Program,Gov Fund - Season 2,2022-12-21,,-6936620.78627,-6936620.78627,-19.8189165322,-6936620.78627,-19.8189165322,-6936620.78627,-19.8189165322,-19.8189165322,,
2023-02-13,1,Dforce,dforce,300000.0,During Program,Gov Fund - Season 1,2022-11-30,,-2100942.218285202,-2100942.218285202,-7.00314072761734,-2103967.138821617,-7.00314072761734,-2103967.138821617,-7.013223796072056,-7.013223796072056,,
2023-02-13,1,Hundred Finance,hundred-finance,300000.0,During Program,Gov Fund - Season 1,2022-11-28,,-434688.93140519597,-434688.93140519597,-1.4489631046839866,-430596.4151949864,-1.4489631046839866,-430596.4151949864,-1.435321383983288,-1.435321383983288,,
2023-02-13,1,Velodrome - Velodrome #2 (Tour de OP)*,velodrome,4000000.0,During Program,Gov Fund - Season 2,2022-11-24,,-65126255.56306,-65126255.56306,-16.281563890765,-65126255.56306,-16.281563890765,-65126255.56306,-16.281563890765,-16.281563890765,,
2023-02-13,1,Rocket Pool - sWETH/rETH: Velodrome,rocket-pool,27300.0,Post-Program,Gov Fund - Season 1,2022-11-09,2023-02-08,4454215.784871596,1189149.6528451166,81.57904367896695,4360956.453176287,43.55859534231196,1086492.153231384,79.87099731092101,39.798247371112964,0.2669717207872983,0.24914079397423042
2023-02-13,1,Rocket Pool - WETH/rETH: Beethoven X,rocket-pool,68571.42857142857,During Program,Gov Fund - Season 1,2022-11-09,,8632578.958816735,8632578.958816735,125.89177648274406,8694281.782216223,125.89177648274406,8694281.782216223,126.79160932398659,126.79160932398659,,
