,include_in_summary,slug,num_op,start_date,end_date,name,op_source,data_source,contracts,source_slug,app_name
0,1,velodrome,3000000.0,2022-07-13,2022-11-17,Velodrome #1 ,Partner Fund,defillama,,,
1,1,pooltogether,450000.0,2022-07-22,,,Partner Fund,defillama,,,
2,1,lyra,3000000.0,2022-08-02,,,Gov Fund - Phase 0,defillama,,,
3,1,rubicon,900000.0,2022-07-15,,,Gov Fund - Phase 0,defillama,,,
4,1,perpetual-protocol,9000000.0,2022-07-14,,,Gov Fund - Phase 0,defillama,,,
5,1,thales,900000.0,2022-07-15,,,Gov Fund - Phase 0,defillama,,,
6,1,aave-v3,5000000.0,2022-08-04,2022-11-04,Aave - Liquidity Mining,Partner Fund,defillama,,,aave
7,1,wepiggy,300000.0,2022-08-03,,,Gov Fund - Phase 0,defillama,,,
8,1,stargate,1000000.0,2022-08-05,,,Gov Fund - Phase 0,defillama,,,stargate finance
9,1,pika-protocol,900000.0,2022-08-29,,,Gov Fund - Phase 0,defillama,,,
10,1,pickle,200000.0,2022-09-09,,Pickle Finance,Gov Fund - Season 1,defillama,,,pickle finance
11,1,aelin,900000.0,2022-09-12,2022-09-14,,Gov Fund - Phase 0,defillama,,,
12,1,polynomial-protocol,900000.0,2022-09-14,,,Gov Fund - Phase 0,defillama,,,
13,1,xtoken,900000.0,2022-09-19,,,Gov Fund - Season 1,defillama,,,
14,1,hop-protocol,1000000.0,2022-09-22,,,Gov Fund - Phase 0,defillama,,,
15,1,beethoven-x,500000.0,2022-09-29,,,Gov Fund - Season 1,defillama,,,
16,1,beefy,325000.0,2022-10-24,,,Gov Fund - Season 1,defillama,,,beefy finance
17,1,hundred-finance,300000.0,2022-11-28,,,Gov Fund - Season 1,defillama,,,
18,1,dforce,300000.0,2022-11-30,,,Gov Fund - Season 1,defillama,,,
19,1,cbridge,300000.0,2022-08-13,,Celer,Gov Fund - Phase 0,defillama,,,celer
20,1,clipper,300000.0,2023-01-23,,,Gov Fund - Phase 0,defillama,,,
21,1,sushi-trident,504000.0,2023-03-03,,,Gov Fund - Season 1,defillama,,,
22,0,uniswap-v3,50000.0,2022-10-26,2022-11-21,Uniswap LM - Phase 1,Gov Fund - Phase 0,defillama,,,
23,1,arrakis-finance,16666.66667,2022-10-26,2022-11-21,Uniswap LM - Phase 1,Gov Fund - Phase 0,defillama,,,
24,1,gamma,16666.66667,2022-10-26,2022-11-21,Uniswap LM - Phase 1,Gov Fund - Phase 0,defillama,,,
25,1,xtoken,16666.66667,2022-10-26,2022-11-21,Uniswap LM - Phase 1,Gov Fund - Phase 0,defillama,,,
26,0,uniswap-v3,100000.0,2023-01-16,2023-02-08,Uniswap LM - Phase 2,Gov Fund - Phase 0,defillama,,,
27,1,arrakis-finance,25000.0,2023-01-16,2023-02-08,Uniswap LM - Phase 2,Gov Fund - Phase 0,defillama,,,
28,1,gamma,25000.0,2023-01-16,2023-02-08,Uniswap LM - Phase 2,Gov Fund - Phase 0,defillama,,,
29,1,xtoken,25000.0,2023-01-16,2023-02-08,Uniswap LM - Phase 2,Gov Fund - Phase 0,defillama,,,
30,1,defiedge,25000.0,2023-01-16,2023-02-08,Uniswap LM - Phase 2,Gov Fund - Phase 0,defillama,,,
31,1,qidao,194000.0,2022-08-26,,sUSDC/MAI: Velodrome,Gov Fund - Season 1,pool-subgraph-velodrome,['0xd62c9d8a3d4fd98b27caaefe3571782a3af0a737'],velodrome,
32,1,qidao,194000.0,2022-08-26,,vUSDC/MAI: Velodrome,Gov Fund - Season 1,pool-subgraph-velodrome,['0x0B5581d5db524Eaf0006A0BafD1e8D206c70Cc0d'],velodrome,
33,1,dhedge,8957.142857,2023-02-03,,DHT/OP: Velodrome,Gov Fund - Season 1,pool-subgraph-velodrome,['0x827ecd158b76f63010e8f129b19fe64a85e97e95'],velodrome,
34,1,rocket-pool,27300.0,2022-11-09,2023-02-08,sWETH/rETH: Velodrome,Gov Fund - Season 1,pool-subgraph-velodrome,['0x69f795e2d9249021798645d784229e5bec2a5a25'],velodrome,
35,1,rocket-pool,17200.0,2023-02-08,,vWETH/rETH: Velodrome,Gov Fund - Season 1,pool-subgraph-velodrome,['0x985612ff2c9409174fedcff23d4f4761af124f88'],velodrome,
36,1,rocket-pool,85000.0,2022-11-09,,WETH/rETH: Beethoven X,Gov Fund - Season 1,pool-subgraph-messari,['0x4fd63966879300cafafbb35d157dc5229278ed23'],beethoven-x,
37,0,synthetix,1114285.714,2022-08-25,,All Synthetix Curve Pools,Gov Fund - Phase 0,pool-subgraph-curve,"['0x7bc5728bc2b59b45a58d9a576e2ffc5f0505b35e', '0x061b87122ed14b9526a813209c8a59a633257bab']",curve,
38,1,synthetix,557142.8571,2022-08-25,,sUSD-3Crv: Curve,Gov Fund - Phase 0,pool-subgraph-curve,['0x061b87122ed14b9526a813209c8a59a633257bab'],curve,
39,1,synthetix,557142.8571,2022-08-25,,sETH-ETH: Curve,Gov Fund - Phase 0,pool-subgraph-curve,['0x7bc5728bc2b59b45a58d9a576e2ffc5f0505b35e'],curve,
40,1,overnight,24428.57143,2023-01-10,,USD+/USDC: Velodrome,Gov Fund - Season 1,pool-subgraph-velodrome,['0x67124355cce2ad7a8ea283e990612ebe12730175'],velodrome,
41,1,overnight,2500.0,2023-01-10,,BPT-USD+: Beethoven X,Gov Fund - Season 1,pool-subgraph-messari,['0xb1c9ac57594e9b1ec0f3787d9f6744ef4cb0a024'],beethoven-x,
42,1,overnight,10571.42857,2023-01-30,,USD+/DOLA: Velodrome,Gov Fund - Season 1,pool-subgraph-velodrome,['0xa99817d2d286c894f8f3888096a5616d06f20d46'],velodrome,
43,1,overnight,5814.285714,2023-01-30,,USD+/LUSD: Velodrome,Gov Fund - Season 1,pool-subgraph-velodrome,['0x8a9cd3dce710e90177b4332c108e159a15736a0f'],velodrome,
44,0,synthetix,694285.7143,2022-09-27,,All Synthetix Velo Pools,Gov Fund - Phase 0,pool-subgraph-velodrome,"['0x9056eb7ca982a5dd65a584189994e6a27318067d', '0xd16232ad60188b68076a235c65d692090caba155', '0xfd7fddfc0a729ecf45fb6b12fa3b71a575e1966f']",velodrome,
45,1,synthetix,231428.5714,2022-09-27,,USDC/SNX: Velodrome,Gov Fund - Phase 0,pool-subgraph-velodrome,['0x9056eb7ca982a5dd65a584189994e6a27318067d'],velodrome,
46,1,synthetix,231428.5714,2022-09-27,,USDC/sUSD: Velodrome,Gov Fund - Phase 0,pool-subgraph-velodrome,['0xd16232ad60188b68076a235c65d692090caba155'],velodrome,
47,1,synthetix,231428.5714,2022-09-27,,ETH/sETH: Velodrome,Gov Fund - Phase 0,pool-subgraph-velodrome,['0xfd7fddfc0a729ecf45fb6b12fa3b71a575e1966f'],velodrome,
48,1,synthetix,86142.85714,2022-10-25,,SNX Bridge: Hop,Gov Fund - Phase 0,pool-defillama-hop,['SNX'],hop,
49,1,layer2dao,300000.0,2022-07-20,2022-08-22,L2DAO/OP: Velodrome,Gov Fund - Phase 0,pool-subgraph-velodrome,['0xfc77e39de40e54f820e313039207dc850e4c9e60'],velodrome,
50,1,beefy,227500.0,2022-09-13,,BIFI/OP: Velodrome,Gov Fund - Phase 0,pool-subgraph-velodrome,['0x81f638e5d063618fc5f6a976e48e9b803b3240c0'],velodrome,beefy finance
51,1,beefy,227500.0,2022-09-13,,BIFI/WETH: Velodrome,Gov Fund - Phase 0,pool-subgraph-velodrome,['0x17d99c78F1AA7870ab30FB3E93b2fE9F6502d192'],velodrome,beefy finance
52,1,velodrome,4000000.0,2022-11-24,,Velodrome #2 (Tour de OP),Gov Fund - Season 2,defillama,,,
53,1,revert-compoundor,240000.0,2022-11-03,,,Gov Fund - Season 2,defillama,,,revert finance
54,1,dhedge,350000.0,2022-12-21,,,Gov Fund - Season 2,defillama,,,
55,1,alchemix,8428.571429,2023-01-08,,alETH/WETH: Velodrome,Gov Fund - Season 1,pool-subgraph-velodrome,['0x6fd5bee1ddb4dbbb0b7368b080ab99b8ba765902'],velodrome,
56,1,angle,2742.857143,2023-02-20,,agEUR/MAI: Velodrome,Gov Fund - Season 1,pool-subgraph-velodrome,['0x389d9aea762fd5f9fbd4434d8e11295f15097b67'],velodrome,
57,1,angle,2742.857143,2023-02-20,,OP/agEUR: Velodrome,Gov Fund - Season 1,pool-subgraph-velodrome,['0xbda45a58bac8b327d02798a9184a850ceed9a477'],velodrome,
58,1,angle,5485.714286,2023-02-20,,USDC/agEUR: Uniswap,Gov Fund - Season 1,pool-subgraph-messari,['0xf44acaa38be5e965c5ddf374e7a2ba270e580684'],uniswap-v3,
