,date,token,protocol,start_date,program_name,app_name,token_value,usd_value,price_usd,rank_desc,last_price_usd,last_token_value,net_token_flow,net_price_change,net_dollar_flow,last_price_net_dollar_flow,net_price_stock_change
22504,2022-07-14,USDC,perpetual-protocol,2022-07-14,Perpetual Protocol,Perpetual Protocol,27811534.81253,27839346.34734,1.000999999999909,201,1.000999999999832,27929987.41469,-118452.60215999931,7.704947790898586e-14,-118571.05476214855,-118571.0547621394,2.1519909483064104e-06
22579,2022-07-15,DAI,rubicon,2022-07-15,Rubicon,Rubicon,155809.03439,156120.65246,1.0020000000078302,200,1.001000000035459,155391.03449,417.99989999999525,0.0009999999723711017,418.83589980326826,418.41789991481716,155.3910301967169
22589,2022-07-15,ETH,rubicon,2022-07-15,Rubicon,Rubicon,0.0,0.0,,200,,0.0,0.0,,,,
22627,2022-07-15,OP,rubicon,2022-07-15,Rubicon,Rubicon,0.0,0.0,,200,,0.0,0.0,,,,
22645,2022-07-15,SNX,rubicon,2022-07-15,Rubicon,Rubicon,2167.46684,5852.16046,2.6999999963090553,200,2.5599999995229425,838.47309,1328.99375,0.13999999678611275,3588.2831200947576,3402.2239993659937,117.38622990524202
22660,2022-07-15,SUSD,thales,2022-07-15,Thales,Thales,172156.25606,173533.50611,1.008000000008829,200,1.0089999999824055,162552.14254,9604.113520000014,-0.0009999999735765819,9680.946428244808,9690.550541511035,-162.55213824481677
22678,2022-07-15,USDC,perpetual-protocol,2022-07-14,Perpetual Protocol,Perpetual Protocol,27897413.6948,27925311.1085,1.0010000000001864,200,1.000999999999909,27811534.81253,85878.88227000087,2.773337115513641e-13,85964.76115228688,85964.76115226306,7.713076173498916e-06
22681,2022-07-15,USDC,rubicon,2022-07-15,Rubicon,Rubicon,309593.04398,309902.63703,1.0010000000194448,200,1.0009999999810555,310908.85589,-1315.8119099999894,3.838929174548866e-11,-1317.1277219355752,-1317.127721885062,1.19355707750173e-05
22707,2022-07-15,WBTC,rubicon,2022-07-15,Rubicon,Rubicon,0.86112,17595.33995,20433.08708426236,200,20312.983690977282,0.87191,-0.010789999999999966,120.10339328507689,-220.47300963919017,-219.17709402564418,104.71934963919139
22717,2022-07-15,USDT,rubicon,2022-07-15,Rubicon,Rubicon,58591.29988,58591.29988,1.0,200,1.0,58822.92512,-231.6252400000012,0.0,-231.6252400000012,-231.6252400000012,0.0
22720,2022-07-15,WETH,rubicon,2022-07-15,Rubicon,Rubicon,129.04573,153253.42125,1187.5900213823427,200,1112.1100245025896,128.48438,0.5613500000000045,75.47999687975312,666.6536585029834,624.2829622545336,9698.000601497013
22755,2022-07-16,DAI,rubicon,2022-07-15,Rubicon,Rubicon,160430.59022,160591.02081,1.0009999999986285,199,1.0020000000078302,155809.03439,4621.555830000027,-0.0010000000092016403,4626.177385823688,4630.798941696215,-155.80903582369868
22765,2022-07-16,ETH,rubicon,2022-07-15,Rubicon,Rubicon,0.0,0.0,,199,,0.0,0.0,,,,
22803,2022-07-16,OP,rubicon,2022-07-15,Rubicon,Rubicon,0.0,0.0,,199,,0.0,0.0,,,,
22820,2022-07-16,SNX,rubicon,2022-07-15,Rubicon,Rubicon,1947.86258,4967.04957,2.549999995379551,199,2.6999999963090553,2167.46684,-219.60426000000007,-0.15000000092950438,-559.9908619853298,-592.931501189453,-325.1200280146699
22836,2022-07-16,SUSD,thales,2022-07-15,Thales,Thales,206371.76592,208229.11181,1.0089999999841064,199,1.008000000008829,172156.25606,34215.50985999999,0.0009999999752774436,34523.44944819618,34489.23393918208,172.15625180385726
22854,2022-07-16,USDC,perpetual-protocol,2022-07-14,Perpetual Protocol,Perpetual Protocol,27906868.21788,27906868.21788,1.0,199,1.0010000000001864,27897413.6948,9454.523079998791,-0.0010000000001864073,9454.523079998791,9463.977603080553,-27897.413700000285
