,date,protocol,chain,usd_value,net_dollar_flow,net_dollar_flow_latest_price,rank_desc,mark_at_latest_price,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
238904,2022-12-07,renvm,Kava,0.0,0.0,0.0,1,1,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,
265605,2023-01-03,qidao,Avalanche,1657414.4114700002,-1.633062600659127,-1.633062600659127,1,1,1657414.4114700002,1,1657414.4114700002,-1.633062600659127,-1,1.633062600659127,-76681.08740091434,-1,76681.08740091434,87016.50540411109,1,87016.50540411109,-45454.822473523476,-1,45454.822473523476,-275225.89792667545,-1,275225.89792667545,1657414.4114700002,1,1657414.4114700002,-9.853073494218775e-05
265606,2023-01-03,qidao,Binance,610335.0089,0.0,0.0,1,1,606249.2436303584,1,606249.2436303584,0.0,1,0.0,-724.216369818488,-1,724.216369818488,584610.4870916754,1,584610.4870916754,579055.8537013981,1,579055.8537013981,491519.6022758517,1,491519.6022758517,606249.2436303584,1,606249.2436303584,0.0
265607,2023-01-03,qidao,Ethereum,5656517.81239,5060.902865349977,5060.902865349977,1,1,5315977.455406979,1,5315977.455406979,5060.902865349977,1,5060.902865349977,69570.03641434909,1,69570.03641434909,512828.9697191434,1,512828.9697191434,980816.2842096123,1,980816.2842096123,5315977.455406979,1,5315977.455406979,5315977.455406979,1,5315977.455406979,0.0894702895527812
265608,2023-01-03,qidao,Fantom,10020316.368300002,1570.2210706991652,1570.2210706991652,1,1,-1800389.9927463382,-1,1800389.9927463382,1570.2210706991652,1,1570.2210706991652,13679.822459575382,1,13679.822459575382,-1024402.1917413409,-1,1024402.1917413409,2099516.0710981907,1,2099516.0710981907,-7250658.039766152,-1,7250658.039766152,-1925781.4579873476,-1,1925781.4579873476,0.01567037419763186
265609,2023-01-03,qidao,Harmony,3982.06026,0.0,0.0,1,1,-15707.480640283939,-1,15707.480640283939,0.0,1,0.0,-0.5581458045259415,-1,0.5581458045259415,13.868008414357927,1,13.868008414357927,97.13325193217045,1,97.13325193217045,-4099.708304665604,-1,4099.708304665604,-15221.968289232193,-1,15221.968289232193,0.0
265610,2023-01-03,qidao,Metis,2337682.55768,3803.0044496544506,3803.0044496544506,1,1,2293752.665381753,1,2293752.665381753,3803.0044496544506,1,3803.0044496544506,44660.82020855995,1,44660.82020855995,275078.42320402694,1,275078.42320402694,924831.9207443096,1,924831.9207443096,2293752.665381753,1,2293752.665381753,2293752.665381753,1,2293752.665381753,0.16268267208310305
265611,2023-01-03,qidao,Moonbeam,19173.56205,0.0,0.0,1,1,-9557.772849526022,-1,9557.772849526022,0.0,1,0.0,-2662.042642301453,-1,2662.042642301453,1121.2544934271734,1,1121.2544934271734,-9557.772849526022,-1,9557.772849526022,-9557.772849526022,-1,9557.772849526022,-9557.772849526022,-1,9557.772849526022,0.0
265615,2023-01-03,qidao,xDai,44769.11262,0.0,0.0,1,1,43380.489465968276,1,43380.489465968276,0.0,1,0.0,190.05429470080026,1,190.05429470080026,-2426.0399900804227,-1,2426.0399900804227,-560562.4617488028,-1,560562.4617488028,-1266425.4619803892,-1,1266425.4619803892,43380.489465968276,1,43380.489465968276,0.0
265613,2023-01-03,qidao,Optimism,3545543.65651,33894.25437980311,33894.25437980311,1,1,3497361.0598708005,1,3497361.0598708005,33894.25437980311,1,33894.25437980311,199080.78864881166,1,199080.78864881166,570513.738258005,1,570513.738258005,672428.6656702787,1,672428.6656702787,-58555.87551064513,-1,58555.87551064513,3497361.0598708005,1,3497361.0598708005,0.9559677630134269
