,date,protocol,program_name,start_date,end_date,net_dollar_flow,net_price_stock_change,last_price_net_dollar_flow,usd_value,tvl_change,error,cumul_net_dollar_flow,cumul_last_price_net_dollar_flow,cumul_net_price_stock_change,cumul_net_dollar_flow_if_ended,cumul_last_price_net_dollar_flow_if_ended,include_in_summary,op_source,num_op,cumul_net_dollar_flow_at_program_end,cumul_last_price_net_dollar_flow_at_program_end,cumul_net_price_stock_change_at_program_end,cumul_net_dollar_flow_if_ended_at_program_end,cumul_last_price_net_dollar_flow_if_ended_at_program_end,program_rank_desc,period
0,2022-07-13 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,423437.3861485326,-294829.0630085321,424016.6991418332,24586302.57624,,,423437.3861485326,424016.6991418332,-294829.0630085321,423437.3861485326,424016.6991418332,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,150,During Program
1,2022-07-14 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,1273337.1065108157,463195.07798918406,1289683.8913769405,26322834.76074,1736532.1845000014,1.6298145055770874e-09,1696774.4926593483,1713700.5905187738,168366.01498065196,1696774.4926593483,1713700.5905187738,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,149,During Program
2,2022-07-15 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,5143013.421852567,531166.6253074314,5066436.564894432,31997014.807899997,5674180.047159996,-2.7939677238464355e-09,6839787.914511915,6780137.155413206,699532.6402880833,6839787.914511915,6780137.155413206,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,148,During Program
3,2022-07-16 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,4608376.346674491,472854.9787155112,4674825.847123172,37078246.13329,5081231.325390004,1.862645149230957e-09,11448164.261186406,11454963.002536379,1172387.6190035946,11448164.261186406,11454963.002536379,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,147,During Program
4,2022-07-17 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,11525170.231456783,1118395.745693219,11360257.467038505,49721812.11044,12643565.97715,0.0,22973334.49264319,22815220.469574884,2290783.3646968137,22973334.49264319,22815220.469574884,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,146,During Program
5,2022-07-18 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,2891184.6570766727,214320.60461332582,2866396.693679333,52827317.37213001,3105505.2616900057,6.984919309616089e-09,25864519.14971986,25681617.163254216,2505103.9693101393,25864519.14971986,25681617.163254216,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,145,During Program
6,2022-07-19 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,6716810.027268924,2413245.8546610735,6671871.017909659,61957373.25406,9130055.881929994,-3.725290298461914e-09,32581329.176988784,32353488.181163877,4918349.823971213,32581329.176988784,32353488.181163877,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,144,During Program
7,2022-07-20 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,4059298.9606590774,-162123.10112907554,4118997.9977157344,65854549.11359,3897175.859530002,0.0,36640628.13764786,36472486.17887961,4756226.722842137,36640628.13764786,36472486.17887961,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,143,During Program
8,2022-07-21 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,6840802.2722999705,-878401.7260899659,6907525.969177355,71816949.6598,5962400.546209991,-1.3969838619232178e-08,43481430.409947835,43380012.14805697,3877824.9967521713,43481430.409947835,43380012.14805697,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,142,During Program
9,2022-07-22 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,1744850.3699911032,1016947.4619188934,1706652.5508985894,74578747.49170999,2761797.8319099993,2.7939677238464355e-09,45226280.779938936,45086664.69895556,4894772.458671065,45226280.779938936,45086664.69895556,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,141,During Program
10,2022-07-23 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,2599452.396871529,769403.5431484712,2565757.1808977323,77947603.43173,3368855.94002001,9.778887033462524e-09,47825733.176810466,47652421.879853286,5664176.001819536,47825733.176810466,47652421.879853286,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,140,During Program
11,2022-07-24 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,1859713.867405065,412721.24776493787,1941595.5373346263,80220038.5469,2272435.115170002,-9.313225746154785e-10,49685447.04421553,49594017.417187914,6076897.249584474,49685447.04421553,49594017.417187914,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,139,During Program
12,2022-07-25 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,2387744.946487912,568718.7641220856,2490556.6461341665,83176502.25751,2956463.7106100023,4.6566128730773926e-09,52073191.99070344,52084574.06332208,6645616.013706559,52073191.99070344,52084574.06332208,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,138,During Program
13,2022-07-26 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,4277133.192851652,-1896527.4178316575,4420952.491049301,85557108.03253,2380605.7750199884,-6.51925802230835e-09,56350325.1835551,56505526.55437138,4749088.595874902,56350325.1835551,56505526.55437138,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,137,During Program
14,2022-07-27 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,2803513.682490377,425559.9438196188,2812761.8288074504,88786181.65884,3229073.626310006,9.778887033462524e-09,59153838.866045475,59318288.38317883,5174648.539694521,59153838.866045475,59318288.38317883,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,136,During Program
15,2022-07-28 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,11138960.780985145,3574229.153804865,11176308.627578868,103499371.59363,14713189.93479,-9.313225746154785e-09,70292799.64703062,70494597.0107577,8748877.693499386,70292799.64703062,70494597.0107577,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,135,During Program
16,2022-07-29 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,3729059.8454260156,5221924.622673982,4283914.595147477,112450356.06173,8950984.468099996,0.0,74021859.49245663,74778511.60590518,13970802.316173367,74021859.49245663,74778511.60590518,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,134,During Program
17,2022-07-30 00:00:00,velodrome,Velodrome,2022-07-13,2022-11-17,11300959.767353658,2332367.639036338,11178780.317573199,126083683.46812,13633327.406389996,0.0,85322819.25981028,85957291.92347838,16303169.955209706,85322819.25981028,85957291.92347838,1,Partner Fund,3000000.0,32930180.999635443,37990054.30205185,7040399.32423456,32930180.999635443,37990054.30205185,133,During Program
