,date,program_name,num_op,period,op_source,start_date,end_date,cumul_net_dollar_flow_at_program_end,cumul_net_dollar_flow,cumul_flows_per_op_at_program_end,cumul_flows_per_op_latest,last_price_flows_per_op_at_program_end,last_price_flows_per_op_latest,flows_retention,last_price_flows_retention
0,2022-12-05,Velodrome,"3,000,000",Post-Program,Partner Fund,2022-07-13,2022-11-17,53557283.99548228,58233229.48639607,17.852427998494093,19.411076495465355,11.93523976512875,13.151752394029401,108.7%,73.7%
1,2022-12-05,Perpetual Protocol,"9,000,000",During Program,Gov Fund - Phase 0,2022-07-14,,,-11150109.868455522,,-1.238901096495058,,-1.235858907415951,,
2,2022-12-05,Rubicon,"900,000",During Program,Gov Fund - Phase 0,2022-07-15,,,7764047.448084155,,8.626719386760172,,6.294683931213566,,
3,2022-12-05,Thales,"900,000",During Program,Gov Fund - Phase 0,2022-07-15,,,159072.4428226509,,0.17674715869183433,,0.17450427449107644,,
4,2022-12-05,L2Dao - L2DAO/OP: Velodrome,"300,000",Post-Program,Gov Fund - Phase 0,2022-07-20,2022-08-22,293057.3285750171,47756.556661060626,0.9768577619167237,0.1591885222035354,0.8033770299102111,0.099039728899274,16.3%,10.1%
5,2022-12-05,Pooltogether,"450,000",During Program,Partner Fund,2022-07-22,,,26891606.503786266,,59.75912556396948,,59.76020200416289,,
6,2022-12-05,Lyra,"3,000,000",During Program,Gov Fund - Phase 0,2022-08-02,,,7559855.836160772,,2.5199519453869237,,2.532367677691411,,
7,2022-12-05,Wepiggy,"300,000",During Program,Gov Fund - Phase 0,2022-08-03,,,2759637.6533702696,,9.198792177900899,,9.209589893648022,,
8,2022-12-05,Aave V3 - Aave - Liquidity Mining,"5,000,000",Post-Program,Partner Fund,2022-08-04,2022-11-04,266510794.83036226,119915975.33379981,53.302158966072454,23.98319506675996,52.92794872998129,13.414830852108064,45.0%,25.2%
9,2022-12-05,Stargate,"1,000,000",During Program,Gov Fund - Phase 0,2022-08-05,,,13449331.050175779,,13.449331050175779,,3.1821518252722387,,
10,2022-12-05,Synthetix - sUSD & sETH: Curve,"9,000,000",During Program,Gov Fund - Phase 0,2022-08-25,,,15116435.69632434,,1.6796039662582598,,1.5811989522705117,,
11,2022-12-05,Pika Protocol,"9,000,000",During Program,Gov Fund - Phase 0,2022-08-29,,,7553297.516070067,,0.8392552795633408,,0.8397702895372993,,
12,2022-12-05,Pickle,"200,000",During Program,Gov Fund - Season 1,2022-09-09,,,1364823.1351936036,,6.8241156759680175,,6.827609320455259,,
13,2022-12-05,Aelin,"900,000",Post-Program,Gov Fund - Phase 0,2022-09-12,2022-09-14,-48.99960017129917,-40891.437636277245,-5.444400019033241e-05,-0.04543493070697472,-5.442886425143387e-05,-0.04542111434944448,"-83,452.6%","-83,427.2%"
14,2022-12-05,Beefy - BIFI/OP: Velodrome,"227,500",During Program,Gov Fund - Phase 0,2022-09-13,,,291219.3155306116,,1.2800849034312598,,0.7248029582338256,,
15,2022-12-05,Polynomial Protocol,"900,000",During Program,Gov Fund - Phase 0,2022-09-14,,,363743.2323578437,,0.4041591470642708,,0.4028809084409809,,
16,2022-12-05,Xtoken,"900,000",During Program,Gov Fund - Season 1,2022-09-19,,,2710327.8521152623,,3.0114753912391805,,1.511596476961371,,
17,2022-12-05,Hop Protocol,"1,000,000",During Program,Gov Fund - Phase 0,2022-09-22,,,10746262.711126197,,10.746262711126198,,6.963252443476084,,
18,2022-12-05,Beethoven X,"500,000",During Program,Gov Fund - Season 1,2022-09-29,,,13547434.558575688,,27.094869117151376,,27.111367712206782,,
19,2022-12-05,Beefy,"325,000",During Program,Gov Fund - Season 1,2022-10-24,,,4100744.4691243814,,12.617675289613482,,12.665928684141184,,
20,2022-12-05,Arrakis Finance - Uniswap LM - Phase 1,"50,000",Post-Program,Gov Fund - Phase 0,2022-10-26,2022-11-21,1236936.6327948102,886084.324645685,24.738732655896204,17.7216864929137,23.867406812447356,19.523339429353165,71.6%,78.9%
21,2022-12-05,Gamma - Uniswap LM - Phase 1,"50,000",Post-Program,Gov Fund - Phase 0,2022-10-26,2022-11-21,970730.7535755321,626913.8815480906,19.414615071510642,12.538277630961812,13.581644857542093,4.840146521580967,64.6%,24.9%
22,2022-12-05,Uniswap V3 - Uniswap LM - Phase 1,"150,000",Post-Program,Gov Fund - Phase 0,2022-10-26,2022-11-21,13848172.659202605,16945919.485051457,92.3211510613507,112.97279656700971,3.8886097966452944,31.755736796532194,122.4%,34.4%
23,2022-12-05,Xtoken - Uniswap LM - Phase 1,"50,000",Post-Program,Gov Fund - Phase 0,2022-10-26,2022-11-21,2136072.9970191927,2008136.4386952375,42.72145994038385,40.16272877390475,16.979632191589317,13.032078801232972,94.0%,30.5%
24,2022-12-05,Revert Compoundor,"240,000",During Program,Gov Fund - Season 2,2022-11-03,,,6931299.203520948,,28.88041334800395,,19.758886642797016,,
25,2022-12-05,Hundred Finance,"300,000",During Program,Gov Fund - Season 1,2022-11-28,,,2926676.722332503,,9.755589074441676,,9.75280213467032,,
