,date,protocol,chain,usd_value,name,category,parentProtocol,net_dollar_flow,cumul_net_dollar_flow,rank_desc,pct_of_tvl,flow_direction,abs_cumul_net_dollar_flow
13251,2022-09-12 17:59:07,instadapp,Ethereum,2360324981.74689,Instadapp,Services,Instadapp,-27460759.744410038,601732622.7718346,1,-1.1634313052978904,1,601732622.7718346
13326,2022-09-12 17:59:07,makerdao,Ethereum,8538335639.12003,MakerDAO,CDP,MakerDAO,-17961288.97635709,169580410.2001738,1,-0.2103605402212579,1,169580410.2001738
13731,2022-09-12 17:59:07,wombat-exchange,Binance,165507909.32694,Wombat Exchange,Dexes,Wombat Exchange,-5065650.845820492,139705313.58477694,1,-3.060669950107301,1,139705313.58477694
12989,2022-09-12 17:59:07,balancer,Ethereum,1605027610.83323,Balancer,Dexes,Balancer,-3355886.6438200474,71178019.67371964,1,-0.20908591361103632,1,71178019.67371964
12469,2022-09-12 17:59:02,aura,Ethereum,341935779.68231004,Aura,Yield,Aura,3502425.825146452,63882862.56175786,1,1.0242934589648762,1,63882862.56175786
12930,2022-09-12 17:59:07,aave-v2,Ethereum,5009780169.65193,AAVE V2,Lending,AAVE,-28132208.726939663,33854609.56630857,1,-0.5615457719553838,1,33854609.56630857
10842,2022-09-11 00:00:00,tornado-cash,Binance,29039926.256,Tornado Cash,Privacy,Tornado Cash,36387.91200000345,27225725.152,1,0.1253030454665334,1,27225725.152
13582,2022-09-12 17:59:07,stader,Ethereum,36097619.32047,Stader,Liquid Staking,Stader,-4862.91381,23471868.133954342,1,-0.013471563780502198,1,23471868.133954342
13712,2022-09-12 17:59:07,venus,Binance,748322091.27627,Venus,Lending,Venus,49446081.103060745,20248534.785838973,1,6.607593398549815,1,20248534.785838973
12665,2022-09-12 17:59:02,lido,Ethereum,7470600103.71855,Lido,Liquid Staking,Lido,1366253.406165826,19682049.757871937,1,0.018288402366575113,1,19682049.757871937
13208,2022-09-12 17:59:07,gmx,Arbitrum,322376828.46679,GMX,Derivatives,GMX,6927836.781777609,16611479.565381493,1,2.1489872007011472,1,16611479.565381493
13116,2022-09-12 17:59:07,defisaver,Ethereum,134540712.61247,DefiSaver,Services,DefiSaver,-1023260.6722300053,16074302.870884614,1,-0.7605583859046422,1,16074302.870884614
13727,2022-09-12 17:59:07,wbtc,Ethereum,5553283163.28865,WBTC,Bridge,WBTC,0.0,15235655.885066044,1,0.0,1,15235655.885066044
12990,2022-09-12 17:59:07,balancer,Polygon,75036493.92053,Balancer,Dexes,Balancer,1584147.4915399998,11665652.373792917,1,2.1111693907470492,1,11665652.373792917
12875,2022-09-12 17:59:02,uniswap,Arbitrum,92041792.9214,Uniswap,Dexes,Uniswap,-4832029.020850003,9279555.116528127,1,-5.249820616789116,1,9279555.116528127
13005,2022-09-12 17:59:07,beefy,Optimism,32906171.84,Beefy,Yield Aggregator,Beefy,1375494.4699999988,8651986.974114459,1,4.1800501033304,1,8651986.974114459
13535,2022-09-12 17:59:07,rocket-pool,Ethereum,596697724.4133799,Rocket Pool,Liquid Staking,Rocket Pool,620832.9566942498,8543046.696863674,1,0.1040448004564786,1,8543046.696863674
12535,2022-09-12 17:59:02,curve,Optimism,45909506.65094,Curve,Dexes,Curve,308023.67192555516,8377679.642015025,1,0.6709365758763787,1,8377679.642015025
12868,2022-09-12 17:59:02,trader-joe,Avalanche,163525686.33264,Trader Joe,Dexes,Trader Joe,2004370.9239706167,7326596.397048411,1,1.2257223736051925,1,7326596.397048411
13321,2022-09-12 17:59:07,madmex,Polygon,21792839.3777,Madmex,Derivatives,MM Finance,202676.76283778297,4964970.184424142,1,0.9300154024223956,1,4964970.184424142
13389,2022-09-12 17:59:07,notional,Ethereum,114397688.61627999,Notional,Lending,Notional,250990.48683867327,4891119.466513441,1,0.219401711585766,1,4891119.466513441
13455,2022-09-12 17:59:07,pika-protocol,Optimism,6201538.43982,Pika Protocol,Derivatives,Pika Protocol,724283.0381738356,4789486.096906594,1,11.679086491236164,1,4789486.096906594
13611,2022-09-12 17:59:07,sushiswap,Ethereum,476879096.02395,SushiSwap,Dexes,SushiSwap,-14444200.628780007,4645697.211013792,1,-3.028902031817009,1,4645697.211013792
