,date,protocol,chain,usd_value,net_dollar_flow,rank_desc,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
66379,2022-11-23 00:00:00,deus-finance,Polygon,0.0,-604.01655,1,-604.01655,-1,604.01655,-604.01655,-1,604.01655,-604.01655,-1,604.01655,-604.01655,-1,604.01655,-604.01655,-1,604.01655,-604.01655,-1,604.01655,-604.01655,-1,604.01655,-inf
81111,2022-12-07 00:00:00,renvm,Kava,0.0,-5.52434,1,-5.52434,-1,5.52434,-5.52434,-1,5.52434,-5.52434,-1,5.52434,-5.52434,-1,5.52434,-5.52434,-1,5.52434,-5.52434,-1,5.52434,-5.52434,-1,5.52434,-inf
90656,2022-12-16 00:00:00,yield-yak-aggregator,Avalanche,26740545.8652,-131465.6291869571,1,-14869849.431625562,-1,14869849.431625562,-131465.6291869571,-1,131465.6291869571,-432135.9474456811,-1,432135.9474456811,-582848.6413855321,-1,582848.6413855321,-15304826.820591254,-1,15304826.820591254,-14869849.431625562,-1,14869849.431625562,-14869849.431625562,-1,14869849.431625562,-0.4916340520858467
90322,2022-12-16 00:00:00,quarry,Solana,35227851.7198,-101231.39720498818,1,-42404315.86356348,-1,42404315.86356348,-101231.39720498818,-1,101231.39720498818,-230902.98116204853,-1,230902.98116204853,-4541434.070460357,-1,4541434.070460357,-42074389.01585147,-1,42074389.01585147,-42404315.86356348,-1,42404315.86356348,-42404315.86356348,-1,42404315.86356348,-0.2873618238494246
90323,2022-12-16 00:00:00,quickswap-dex,Polygon,142723253.99705,-2689507.062875761,1,-95299469.28622644,-1,95299469.28622644,-2689507.062875761,-1,2689507.062875761,-12561663.159687802,-1,12561663.159687802,-24505253.40803117,-1,24505253.40803117,-91283656.90066041,-1,91283656.90066041,-95299469.28622644,-1,95299469.28622644,-95299469.28622644,-1,95299469.28622644,-1.8844210649312634
90324,2022-12-16 00:00:00,quickswap-v3,Dogechain,1603739.5317799998,3313.7549882090916,1,-34950.608292978795,-1,34950.608292978795,3313.7549882090916,1,3313.7549882090916,9301.142169584704,1,9301.142169584704,-22835.292401756542,-1,22835.292401756542,-34950.608292978795,-1,34950.608292978795,-34950.608292978795,-1,34950.608292978795,-34950.608292978795,-1,34950.608292978795,0.20662675718488624
90325,2022-12-16 00:00:00,quickswap-v3,Polygon,33849371.14665,215279.9210531727,1,8482355.718300944,1,8482355.718300944,215279.9210531727,1,215279.9210531727,-406922.02800295386,-1,406922.02800295386,3108779.5749676027,1,3108779.5749676027,8482355.718300944,1,8482355.718300944,8482355.718300944,1,8482355.718300944,8482355.718300944,1,8482355.718300944,0.6359938567853674
90326,2022-12-16 00:00:00,radiant,Arbitrum,27728269.852959998,-761596.302075812,1,-17006406.494864527,-1,17006406.494864527,-761596.302075812,-1,761596.302075812,939276.3901836096,1,939276.3901836096,1985633.4401253886,1,1985633.4401253886,-24939031.293368515,-1,24939031.293368515,-17006406.494864527,-1,17006406.494864527,-17006406.494864527,-1,17006406.494864527,-2.7466419870928642
90333,2022-12-16 00:00:00,rage-trade,Arbitrum,13550019.11374,-43146.654494853065,1,11977068.169736838,1,11977068.169736838,-43146.654494853065,-1,43146.654494853065,10245131.517610842,1,10245131.517610842,10295640.619971002,1,10295640.619971002,12450857.719808996,1,12450857.719808996,11977068.169736838,1,11977068.169736838,11977068.169736838,1,11977068.169736838,-0.31842504525400606
90334,2022-12-16 00:00:00,rari-capital,Arbitrum,959.5973600000001,0.0,1,-4963.284890440367,-1,4963.284890440367,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,-4963.87396783504,-1,4963.87396783504,-4963.284890440367,-1,4963.284890440367,-4963.284890440367,-1,4963.284890440367,0.0
