,chain,protocol,current_usd_tvl,max_usd_tvl,launch_date,totalLiquidityUSD,last_day_tvl,month,quarter,start_of_month_tvl,monthly_tvl_share,start_of_quarter_tvl,quarterly_tvl_share,chains_tvl_share,chains_tvl_share_floor,chains_tvl_share_floor_sort,monthly_tvl_floor,monthly_tvl_share_floor,monthly_tvl_share_floor_sort,num_protocols_threshold,num_protocols,num_protocols_threshold_pct_chain,num_protocols_threshold_pct_share
132,Avalanche,valhalladao,2e-05,57523.10992,2021-12-26,12169003718.563274,12496152677.266588,2021-12-01,2021Q4,13701879717.01903,33.588940121222734,3823265970.3443656,17.618967859996502,33.778402671024224,30.0,30.0,12000000000.0,30.0,30.0,0,1,0.0,0.0
79,Arbitrum,sushiswap-furo,3e-05,3e-05,2022-10-04,1023767533.2526301,993776479.1881437,2022-10-01,2022Q4,1003732414.5371912,12.479323629989228,1008458047.3219279,12.495430987791597,12.5193625715249,10.0,10.0,1000000000.0,10.0,10.0,0,1,0.0,0.0
927,Solana,nirvana,0.00055,4027014.68228,2022-06-26,2682645560.2429667,2670489800.7582173,2022-06-01,2022Q2,3790095243.163679,28.509062300421366,7761978053.720177,24.112944939733303,28.429056769650117,25.0,25.0,2000000000.0,25.0,25.0,0,1,0.0,0.0
176,Avalanche,swing-dao,0.02062,9280.96346,2021-12-31,11800106890.187586,11704974435.422916,2021-12-01,2021Q4,13701879717.01903,33.588940121222734,3823265970.3443656,17.618967859996502,33.22883236571938,30.0,30.0,11000000000.0,30.0,30.0,0,1,0.0,0.0
90,Arbitrum,solv-protocol,0.03263,1815245.71886,2022-04-20,1775216174.7005956,1816010260.6333823,2022-04-01,2022Q2,1878676205.0471625,5.648469855213569,1837484287.034369,5.708230187490574,6.104378353945599,5.0,5.0,1000000000.0,5.0,5.0,0,1,0.0,0.0
178,Avalanche,dexpad,0.06667,0.11332,2022-06-30,2673176221.6115036,2738504601.0746617,2022-06-01,2022Q2,3966290126.958055,29.834398630206167,11036804006.080185,34.286343695817095,30.450892679053325,30.0,30.0,2000000000.0,25.0,25.0,0,1,0.0,0.0
172,Avalanche,snowdog,0.29055,63823712.78076,2021-11-19,10910034061.313951,11374905184.752436,2021-11-01,2021Q4,8641234025.30953,25.22351469226401,3823265970.3443656,17.618967859996502,30.86716151134202,30.0,30.0,10000000000.0,25.0,25.0,0,1,0.0,0.0
175,Avalanche,deepseadao,0.44529,265703.78376,2021-12-31,11800106890.187586,11704974435.422916,2021-12-01,2021Q4,13701879717.01903,33.588940121222734,3823265970.3443656,17.618967859996502,33.22883236571938,30.0,30.0,11000000000.0,30.0,30.0,0,1,0.0,0.0
477,Fantom,pnetwork,0.66142,2.78079,2022-06-19,985762354.601956,1047458971.9070855,2022-06-01,2022Q2,1634309736.4769545,12.293263125629208,6626844273.719033,20.58659918779185,11.848821783727951,10.0,10.0,0.0,10.0,10.0,0,1,0.0,0.0
238,Avalanche,magnet-dao,0.66303,10299268.47726,2022-01-04,11913546744.134838,12017185158.376245,2022-01-01,2022Q1,11779556274.237226,32.38510042317888,11532621710.127325,32.68793118690901,32.79249391609545,30.0,30.0,11000000000.0,30.0,30.0,0,1,0.0,0.0
200,Avalanche,galaxygoogle-dao,0.7683,72039159.55032,2021-12-06,11830210832.546284,12261660416.990335,2021-12-01,2021Q4,13701879717.01903,33.588940121222734,3823265970.3443656,17.618967859996502,34.18745779525909,30.0,30.0,11000000000.0,30.0,30.0,0,1,0.0,0.0
305,Avalanche,tokensfarm,1.03719,1.20008,2022-09-21,1929560851.3511064,1968983540.5596638,2022-09-01,2022Q3,2186375299.0914807,23.94047882480514,2677377544.84711,31.01483999440786,24.62029396542794,20.0,20.0,1000000000.0,20.0,20.0,0,1,0.0,0.0
764,Polygon,infy-protocol,1.04167,1.04479,2022-09-28,1460879728.7189593,1466317704.91972,2022-09-01,2022Q3,2031969337.933902,22.24975690480689,1656330111.5348358,19.186988957176066,18.197139806422268,15.0,15.0,1000000000.0,20.0,20.0,0,1,0.0,0.0
275,Avalanche,sashimidao,1.4406,9299.17025,2022-01-11,10682961495.609737,10904056623.608652,2022-01-01,2022Q1,11779556274.237226,32.38510042317888,11532621710.127325,32.68793118690901,32.66078749357862,30.0,30.0,10000000000.0,30.0,30.0,0,1,0.0,0.0
421,Fantom,undead-finance,1.67567,84542.80089,2021-11-09,5691790461.304922,5351115244.044952,2021-11-01,2021Q4,5129487204.437442,14.972826275269579,1509482689.809377,6.9562324994556946,13.819938138180332,10.0,10.0,5000000000.0,10.0,10.0,0,1,0.0,0.0
639,Polygon,mama-dao,1.74424,202716.99799,2021-12-27,5828964773.834262,5660310618.56728,2021-12-01,2021Q4,5121508472.082664,12.554922751616838,4383704677.116872,20.201668524484514,15.397915803587193,15.0,15.0,5000000000.0,10.0,10.0,0,1,0.0,0.0
194,Avalanche,maximizer,1.77451,16807204.2284,2021-11-28,12612028501.866884,12189085126.132679,2021-11-01,2021Q4,8641234025.30953,25.22351469226401,3823265970.3443656,17.618967859996502,32.688117538044764,30.0,30.0,12000000000.0,25.0,25.0,0,1,0.0,0.0
518,Fantom,sushiswap-furo,2.02198,2.02198,2022-10-04,584816957.8288639,596426726.9106154,2022-10-01,2022Q4,604255362.1195278,7.512657865615354,604667825.9624206,7.492215575963819,7.513643759854189,5.0,5.0,0.0,5.0,5.0,0,1,0.0,0.0
254,Avalanche,octus-bridge,2.1736,4.40287,2022-04-26,10173436619.418196,10354013853.489355,2022-04-01,2022Q2,11177365080.74134,33.60611559866927,11036804006.080185,34.286343695817095,36.85686869473421,35.0,35.0,10000000000.0,30.0,30.0,0,1,0.0,0.0
672,Polygon,securo-finance,3.05985,3.56569,2022-08-29,2026545231.3334196,2066765919.7241764,2022-08-01,2022Q3,1903354267.4591086,19.648245097225356,1656330111.5348358,19.186988957176066,22.14331413243283,20.0,20.0,2000000000.0,15.0,15.0,0,1,0.0,0.0
385,Fantom,chad-finance,3.29762,1094.20234,2021-12-27,4850045878.149032,4529590116.30913,2021-12-01,2021Q4,4656630015.342423,11.415314539489612,1509482689.809377,6.9562324994556946,12.321982296678737,10.0,10.0,4000000000.0,10.0,10.0,0,1,0.0,0.0
803,Polygon,openbisea,3.38064,3.90074,2022-09-07,1841245248.0195594,1960041411.3698735,2022-09-01,2022Q3,2031969337.933902,22.24975690480689,1656330111.5348358,19.186988957176066,21.566933079662725,20.0,20.0,1000000000.0,20.0,20.0,0,1,0.0,0.0
187,Avalanche,emiswap,4.47278,5.3459,2022-04-16,10311189326.662033,10277513148.289965,2022-04-01,2022Q2,11177365080.74134,33.60611559866927,11036804006.080185,34.286343695817095,35.42453339589584,35.0,35.0,10000000000.0,30.0,30.0,0,1,0.0,0.0
695,Polygon,knit-finance,5.02003,5.04009,2021-12-04,4967363814.548608,5110503966.901051,2021-12-01,2021Q4,5121508472.082664,12.554922751616838,4383704677.116872,20.201668524484514,12.651657474508928,10.0,10.0,4000000000.0,10.0,10.0,0,1,0.0,0.0
430,Fantom,ftm-frens,5.081,639.44352,2021-12-29,4764069985.35473,4705750776.0575075,2021-12-01,2021Q4,4656630015.342423,11.415314539489612,1509482689.809377,6.9562324994556946,12.78653769231376,10.0,10.0,4000000000.0,10.0,10.0,0,1,0.0,0.0
220,Avalanche,tempodao,6.0076,990705.73738,2021-12-12,11357043255.269539,11403945629.365599,2021-12-01,2021Q4,13701879717.01903,33.588940121222734,3823265970.3443656,17.618967859996502,34.29652127379608,30.0,30.0,11000000000.0,30.0,30.0,0,1,0.0,0.0
276,Avalanche,securo-finance,6.2757,7.63585,2022-07-28,2844519726.5097585,2744358283.173959,2022-07-01,2022Q3,2637227028.191218,30.984400308461908,2677377544.84711,31.01483999440786,26.96540056298794,25.0,25.0,2000000000.0,30.0,30.0,0,1,0.0,0.0
343,Fantom,octus-bridge,6.29772,42.51478,2022-04-26,5383483270.834873,5248942592.050083,2022-04-01,2022Q2,6914473791.623877,20.78921139881647,6626844273.719033,20.58659918779185,18.684501550690015,15.0,15.0,5000000000.0,20.0,20.0,0,1,0.0,0.0
882,Polygon,woofi,6.38475,7.96048,2022-09-10,1785046718.2590373,1790300706.1379879,2022-09-01,2022Q3,2031969337.933902,22.24975690480689,1656330111.5348358,19.186988957176066,20.489004695796652,20.0,20.0,1000000000.0,20.0,20.0,0,1,0.0,0.0
347,Fantom,ante-finance,6.70473,7.55235,2022-09-14,673657968.7742906,700165028.8956777,2022-09-01,2022Q3,720351675.027874,7.887741884745907,861661362.6214986,9.981516929692225,8.090569078842629,5.0,5.0,0.0,5.0,5.0,0,1,0.0,0.0
74,Arbitrum,opium,7.22493,472.1648,2022-03-12,1502797606.069909,1512519725.0247297,2022-03-01,2022Q1,1749011707.638956,4.812574390912127,1782578913.4949436,5.052521302106808,5.198574604218351,5.0,5.0,1000000000.0,0.0,0.0,0,1,0.0,0.0
844,Polygon,sapphire-mine,7.95125,305.7719,2022-05-03,3520582420.5792246,3557826994.9317746,2022-05-01,2022Q2,3557826994.9317746,14.245139468266762,4482229770.711526,13.92425473511868,14.245139468266762,10.0,10.0,3000000000.0,10.0,10.0,0,1,0.0,0.0
330,Fantom,manhattan,7.964819999999999,31708.68628,2022-01-21,10441921285.819208,8284246278.750411,2022-01-01,2022Q1,5271454870.493362,14.49261681703181,4884712105.945583,13.84517217336593,23.210694897962732,20.0,20.0,10000000000.0,10.0,10.0,0,1,0.0,0.0
506,Fantom,spade-finance,9.82603,31127.13225,2022-03-05,8839984493.098024,9992049341.197142,2022-03-01,2022Q1,11738761494.226648,32.30033435533891,4884712105.945583,13.84517217336593,29.94971339762882,25.0,25.0,8000000000.0,30.0,30.0,0,1,0.0,0.0
293,Avalanche,sushiswap-furo,9.99501,9.99501,2022-10-04,1927353105.6623056,1886135155.831539,2022-10-01,2022Q4,1914961787.30979,23.808564450835515,1925159147.2297292,23.85393554903683,23.76108749730648,20.0,20.0,1000000000.0,20.0,20.0,0,1,0.0,0.0
273,Avalanche,revest-finance,10.44568,317.91018,2022-02-15,10584417039.271303,10453265267.264442,2022-02-01,2022Q1,9189638395.603996,27.43066062669577,11532621710.127325,32.68793118690901,31.71433771381612,30.0,30.0,10000000000.0,25.0,25.0,0,1,0.0,0.0
258,Avalanche,onx-finance,11.41239,883.25927,2022-03-08,10388933591.770275,10423886278.02237,2022-03-01,2022Q1,11135487371.69958,30.64036742653372,11532621710.127325,32.68793118690901,35.345422512028655,35.0,35.0,10000000000.0,30.0,30.0,0,1,0.0,0.0
263,Avalanche,tornadao,12.59667,937507.49968,2021-12-05,12261660416.990335,13150428015.839663,2021-12-01,2021Q4,13701879717.01903,33.588940121222734,3823265970.3443656,17.618967859996502,33.861860125389356,30.0,30.0,12000000000.0,30.0,30.0,0,1,0.0,0.0
831,Polygon,powerbomb-finance,12.60508,12.60508,2022-10-04,1488970354.3193057,1449170545.1536596,2022-10-01,2022Q4,1478594022.9692323,18.38323945980035,1486298384.9705844,18.416174025271438,18.256310008035772,15.0,15.0,1000000000.0,15.0,15.0,0,1,0.0,0.0
375,Fantom,bouje-finance,12.898609999999998,2620288.25823,2021-10-30,5184371109.055842,5298070824.26853,2021-10-01,2021Q4,1589381908.926555,7.065292124985715,1509482689.809377,6.9562324994556946,15.573753984761,15.0,15.0,5000000000.0,5.0,5.0,0,1,0.0,0.0
218,Avalanche,papa-dao,13.0298,15309680.30512,2021-12-12,11357043255.269539,11403945629.365599,2021-12-01,2021Q4,13701879717.01903,33.588940121222734,3823265970.3443656,17.618967859996502,34.29652127379608,30.0,30.0,11000000000.0,30.0,30.0,0,1,0.0,0.0
136,Avalanche,coup-farm,15.29956,28310.34208,2021-12-28,11949173704.161224,12149494818.309942,2021-12-01,2021Q4,13701879717.01903,33.588940121222734,3823265970.3443656,17.618967859996502,32.47289177097952,30.0,30.0,11000000000.0,30.0,30.0,0,1,0.0,0.0
189,Avalanche,etha-lend,17.71296,18.22925,2022-09-28,1948671496.8029006,1948948852.0672467,2022-09-01,2022Q3,2186375299.0914807,23.94047882480514,2677377544.84711,31.01483999440786,24.18663746447471,20.0,20.0,1000000000.0,20.0,20.0,0,1,0.0,0.0
181,Avalanche,dotoracle,18.37894,24.8196,2022-08-24,2494073167.6213956,2396378344.3835535,2022-08-01,2022Q3,2751253821.400562,28.4010761064046,2677377544.84711,31.01483999440786,24.829034395263676,20.0,20.0,2000000000.0,25.0,25.0,0,1,0.0,0.0
738,Polygon,octus-bridge,18.95331,95.80112,2022-04-26,3903717570.0080066,3864366982.466665,2022-04-01,2022Q2,4633188148.45559,13.930247011047433,4482229770.711526,13.92425473511868,13.755869798555562,10.0,10.0,3000000000.0,10.0,10.0,0,1,0.0,0.0
333,Fantom,2omb-finance,18.96181,27265.59758,2022-01-30,8784609869.033825,9179537260.603518,2022-01-01,2022Q1,5271454870.493362,14.49261681703181,4884712105.945583,13.84517217336593,28.718716792073167,25.0,25.0,8000000000.0,10.0,10.0,0,1,0.0,0.0
636,Polygon,ante-finance,20.1346,23.21968,2022-09-08,1832797871.1775258,1841245248.0195594,2022-09-01,2022Q3,2031969337.933902,22.24975690480689,1656330111.5348358,19.186988957176066,21.259393259637385,20.0,20.0,1000000000.0,20.0,20.0,0,1,0.0,0.0
332,Fantom,webribe-dao,23.0407,24149.28082,2022-01-21,10441921285.819208,8284246278.750411,2022-01-01,2022Q1,5271454870.493362,14.49261681703181,4884712105.945583,13.84517217336593,23.210694897962732,20.0,20.0,10000000000.0,10.0,10.0,0,1,0.0,0.0
