,chain,protocol,current_usd_tvl,max_usd_tvl,launch_date,totalLiquidityUSD,last_day_tvl,month,quarter,start_of_month_tvl,monthly_tvl_share,start_of_quarter_tvl,quarterly_tvl_share,chains_tvl_share,chains_tvl_share_floor,chains_tvl_share_floor_sort,monthly_tvl_floor,monthly_tvl_share_floor,monthly_tvl_share_floor_sort,num_protocols_threshold,num_protocols,num_protocols_threshold_pct_chain,num_protocols_threshold_pct_share
132,Avalanche,valhalladao,2e-05,57523.10992,2021-12-26,12169003718.563274,12496152677.266588,2021-12-01,2021Q4,13701879717.01903,22.821809191552994,3823265970.3443656,9.720889718801896,23.19686253260575,20.0,20.0,12000000000.0,20.0,20.0,0,1,0.0,0.0
79,Arbitrum,sushiswap-furo,3e-05,3e-05,2022-10-04,1023767533.2526301,993776479.1881437,2022-10-01,2022Q4,1003732414.5371912,6.768388366214451,1008458047.3219279,6.779003329250174,6.741814175944601,5.0,5.0,1000000000.0,5.0,5.0,0,1,0.0,0.0
1310,Solana,nirvana,0.00055,4027014.68228,2022-06-26,2682645560.2429667,2670489800.7582173,2022-06-01,2022Q2,3790095243.163679,17.219749278681697,7761978053.720177,16.8365850768518,17.128934865226228,15.0,15.0,2000000000.0,15.0,15.0,0,1,0.0,0.0
405,Binance,blur-finance,0.01027,336304.96635,2022-07-13,5899896623.7229185,5999694091.619342,2022-07-01,2022Q3,5989002739.112766,40.772227108253226,5960947850.685903,40.32631201456031,40.82727771734478,40.0,40.0,5000000000.0,40.0,30.0,0,1,0.0,0.0
176,Avalanche,swing-dao,0.02062,9280.96346,2021-12-31,11800106890.187586,11704974435.422916,2021-12-01,2021Q4,13701879717.01903,22.821809191552994,3823265970.3443656,9.720889718801896,22.825975301027018,20.0,20.0,11000000000.0,20.0,20.0,0,1,0.0,0.0
90,Arbitrum,solv-protocol,0.03263,1815245.71886,2022-04-20,1775216174.7005956,1816010260.6333823,2022-04-01,2022Q2,1878676205.0471625,3.9606624711280105,1837484287.034369,3.9857057456127434,4.215960297594141,0.0,0.0,1000000000.0,0.0,0.0,0,1,0.0,0.0
178,Avalanche,dexpad,0.06667,0.11332,2022-06-30,2673176221.6115036,2738504601.0746617,2022-06-01,2022Q2,3966290126.958055,18.02026523632107,11036804006.080185,23.94004316152976,18.05188994228289,15.0,15.0,2000000000.0,15.0,15.0,0,1,0.0,0.0
658,Binance,soy-finance,0.15563,0.15578,2022-09-11,6697988825.835686,6639856580.383504,2022-09-01,2022Q3,6444165832.398492,40.78856452483413,5960947850.685903,40.32631201456031,42.63106699033587,40.0,40.0,6000000000.0,40.0,30.0,0,1,0.0,0.0
172,Avalanche,snowdog,0.29055,63823712.78076,2021-11-19,10910034061.313951,11374905184.752436,2021-11-01,2021Q4,8641234025.30953,15.939314795886355,3823265970.3443656,9.720889718801896,20.242358587664665,20.0,20.0,10000000000.0,15.0,15.0,0,1,0.0,0.0
650,Binance,samodao,0.42014,13891.80729,2022-01-07,16881306502.493874,17269295546.179195,2022-01-01,2022Q1,16099248823.163715,30.564548964803567,15761423531.844334,30.76312509019138,32.46874848917064,30.0,30.0,16000000000.0,30.0,30.0,0,1,0.0,0.0
175,Avalanche,deepseadao,0.44529,265703.78376,2021-12-31,11800106890.187586,11704974435.422916,2021-12-01,2021Q4,13701879717.01903,22.821809191552994,3823265970.3443656,9.720889718801896,22.825975301027018,20.0,20.0,11000000000.0,20.0,20.0,0,1,0.0,0.0
