,id,token0,token1,feeTier,totalValueLockedUSD,fees_usd_t90d,volume_usd_t90d,tvl_share,pool,fee_apr_plus10m
0,0x5777d92f208679db4b9778590fa3cab3ac9e2168,DAI,USDC,0.0001,890961341.3883235,462458.1563323611,4624581563.323611,0.23051396851505165,DAI/USDC - 0.01%,0.0020816928085234192
1,0x6c6bc977e13df9b0de53b251522280bb72383700,DAI,USDC,0.0005,413795154.5803252,895096.5362091216,1790193072.4182434,0.10705914926227582,DAI/USDC - 0.05%,0.008565727311762819
2,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC,WETH,0.003,306261984.6602242,35911958.324004784,11970652774.66826,0.07923763042211987,USDC/WETH - 0.3%,0.4605135904913407
3,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC,WETH,0.0005,278500634.43193024,32925488.32501711,65850976650.03422,0.07205507522563001,USDC/WETH - 0.05%,0.4628452459344885
4,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC,WETH,0.003,206989694.97826886,9305207.024322132,3101735674.774044,0.053553407779524255,WBTC/WETH - 0.3%,0.17391509788915815
5,0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC,USDT,0.0001,162549004.317363,944711.6642760942,9447116642.760942,0.04205549031451688,USDC/USDT - 0.01%,0.022204304531402704
6,0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52,FRAX,USDC,0.0005,118448195.33308001,358893.5507236646,717787101.447329,0.030645508734563513,FRAX/USDC - 0.05%,0.011331515633334639
7,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH,USDT,0.003,115660876.43072928,16036865.216846647,5345621738.948882,0.029924359665742306,WETH/USDT - 0.3%,0.5175707799533816
8,0x8ee3cc8e29e72e03c4ab430d7b7e08549f0c71cc,USDC,USDM,0.0005,99999518.96498755,761.397714435,1522795.42887,0.025872375035145993,USDC/USDM - 0.05%,2.8071856675546293e-05
9,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC,WETH,0.0005,56975124.3482035,3445062.146105941,6890124292.211884,0.014740888756944057,WBTC/WETH - 0.05%,0.20860940628098826
10,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC,USDC,0.003,54221049.13357682,4965277.772926494,1655092590.975498,0.014028340661060018,WBTC/USDC - 0.3%,0.31355700550740945
11,0x7379e81228514a1d2a6cf7559203998e20598346,WETH,sETH2,0.003,40906422.751535624,193442.21215441977,64480737.38480659,0.010583514018147559,WETH/sETH2 - 0.3%,0.015410936297977216
12,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI,WETH,0.003,38717514.88486473,11880117.836374575,3960039278.791526,0.010017188841486268,DAI/WETH - 0.3%,0.9889765109289673
13,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC,WETH,0.01,33241255.4432049,2093866.2649209637,209386626.4920964,0.008600343645320979,USDC/WETH - 1.0%,0.19638169327539745
14,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH,USDT,0.0005,32274069.117994457,7621627.254260809,15243254508.521618,0.00835010836825459,WETH/USDT - 0.05%,0.7311795007742437
