,date,protocol,chain,usd_value,net_dollar_flow,net_dollar_flow_latest_price,rank_desc,mark_at_latest_price,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
267616,2023-01-04 13:59:35,sushi-bentobox,Moonbeam,0.32781,0.0,0.0,1,1,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
267619,2023-01-04 13:59:35,sushi-bentobox,xDai,2191.69326,0.0,0.0,1,1,-14102.134866530036,-1,14102.134866530036,0.0,1,0.0,0.0001742996998725153,1,0.0001742996998725153,-14098.464750019979,-1,14098.464750019979,-14102.134866530036,-1,14102.134866530036,-14102.134866530036,-1,14102.134866530036,-14102.134866530036,-1,14102.134866530036,0.0
267618,2023-01-04 13:59:35,sushi-bentobox,Polygon,667701.10016,572.0387772814863,572.0387772814863,1,1,172338.77784489733,1,172338.77784489733,572.0387772814863,1,572.0387772814863,-16529.076695345062,-1,16529.076695345062,-30584.626284305126,-1,30584.626284305126,172338.77784489733,1,172338.77784489733,172338.77784489733,1,172338.77784489733,172338.77784489733,1,172338.77784489733,0.08567288224392766
267617,2023-01-04 13:59:35,sushi-bentobox,Optimism,3108.4597000000003,2.0000000006348273e-05,2.0000000006348273e-05,1,1,35.118191328709436,1,35.118191328709436,2.0000000006348273e-05,1,2.0000000006348273e-05,-0.11086591184869497,-1,0.11086591184869497,3.099713749299639,1,3.099713749299639,35.118191328709436,1,35.118191328709436,35.118191328709436,1,35.118191328709436,35.118191328709436,1,35.118191328709436,6.434054784866045e-07
267615,2023-01-04 13:59:35,sushi-bentobox,Fantom,1430702.5514699998,-193.28576989929235,-193.28576989929235,1,1,1261010.2333169403,1,1261010.2333169403,-193.28576989929235,-1,193.28576989929235,17915.024266995282,1,17915.024266995282,1230324.8436722937,1,1230324.8436722937,1261010.2333169403,1,1261010.2333169403,1261010.2333169403,1,1261010.2333169403,1261010.2333169403,1,1261010.2333169403,-0.013509850087336293
267612,2023-01-04 13:59:35,sushi-bentobox,Avalanche,334000.24463,-0.9921406553995418,-0.9921406553995418,1,1,-37839.082561936055,-1,37839.082561936055,-0.9921406553995418,-1,0.9921406553995418,51.472257708617505,1,51.472257708617505,2122.8166558502244,1,2122.8166558502244,-37839.082561936055,-1,37839.082561936055,-37839.082561936055,-1,37839.082561936055,-37839.082561936055,-1,37839.082561936055,-0.00029704788285368446
267613,2023-01-04 13:59:35,sushi-bentobox,Binance,17420.56995,0.27918531753135056,0.27918531753135056,1,1,6839.27120438097,1,6839.27120438097,0.27918531753135056,1,0.27918531753135056,-8.989963023737582,-1,8.989963023737582,9793.291036619563,1,9793.291036619563,6839.27120438097,1,6839.27120438097,6839.27120438097,1,6839.27120438097,6839.27120438097,1,6839.27120438097,0.0016026187336732375
267608,2023-01-04 13:59:35,ellipsis-finance,Binance,32088423.99641,81611.23865540487,81611.23865540487,1,1,-527188918.7155601,-1,527188918.7155601,81611.23865540487,1,81611.23865540487,-1528644.905895954,-1,1528644.905895954,-18098618.544678714,-1,18098618.544678714,-33277719.76448808,-1,33277719.76448808,-58958208.822910234,-1,58958208.822910234,-526657620.3042501,-1,526657620.3042501,0.2543323369964676
267614,2023-01-04 13:59:35,sushi-bentobox,Ethereum,58047956.96409,-474.38186879483663,-474.38186879483663,1,1,-18428235.74183669,-1,18428235.74183669,-474.38186879483663,-1,474.38186879483663,26160.56906887246,1,26160.56906887246,-2680749.04243671,-1,2680749.04243671,-18428235.74183669,-1,18428235.74183669,-18428235.74183669,-1,18428235.74183669,-18428235.74183669,-1,18428235.74183669,-0.0008172240568058266
267611,2023-01-04 13:59:35,sushi-bentobox,Arbitrum,3732450.24198,-3333.0737664478197,-3333.0737664478197,1,1,180332.99085949076,1,180332.99085949076,-3333.0737664478197,-1,3333.0737664478197,-12213.629587604477,-1,12213.629587604477,20367.468193852845,1,20367.468193852845,180332.99085949076,1,180332.99085949076,180332.99085949076,1,180332.99085949076,180332.99085949076,1,180332.99085949076,-0.08929988480381408
268281,2023-01-04 14:59:35,pooltogether,Binance,5135.02685,0.0,0.0,1,1,-6480.004288221853,-1,6480.004288221853,0.0,1,0.0,-18.98516081119982,-1,18.98516081119982,-40.271420973004226,-1,40.271420973004226,-302.66973326171006,-1,302.66973326171006,-587.2820295030037,-1,587.2820295030037,-6480.004288221853,-1,6480.004288221853,0.0
268282,2023-01-04 14:59:35,pooltogether,Celo,100715.24799999999,-62.56600560327198,-62.56600560327198,1,1,-2968364.359895192,-1,2968364.359895192,-62.56600560327198,-1,62.56600560327198,-217.41194196269007,-1,217.41194196269007,-5891.332255973206,-1,5891.332255973206,-29846.7680139507,-1,29846.7680139507,-400090.49469529657,-1,400090.49469529657,-2968364.359895192,-1,2968364.359895192,-0.062121681518643515
268283,2023-01-04 14:59:35,pooltogether,Ethereum,5386511.047040001,-917.8966751605955,-917.8966751605955,1,1,-28962971.824073065,-1,28962971.824073065,-917.8966751605955,-1,917.8966751605955,-21017.653418799087,-1,21017.653418799087,-555851.0929440352,-1,555851.0929440352,-4960157.436446472,-1,4960157.436446472,-9523457.63656827,-1,9523457.63656827,-28962971.824073065,-1,28962971.824073065,-0.01704065334953687
268284,2023-01-04 14:59:35,pooltogether,Optimism,31813128.2833,-253585.8273760759,-253585.8273760759,1,1,30083702.74038858,1,30083702.74038858,-253585.8273760759,-1,253585.8273760759,-4332619.339603554,-1,4332619.339603554,2410666.2801820426,1,2410666.2801820426,-4955768.024203246,-1,4955768.024203246,30083702.74038858,1,30083702.74038858,30083702.74038858,1,30083702.74038858,-0.7971106302965917
268285,2023-01-04 14:59:35,pooltogether,Polygon,4270967.67461,-3268.7668146622223,-3268.7668146622223,1,1,-18993368.316141285,-1,18993368.316141285,-3268.7668146622223,-1,3268.7668146622223,-55932.562130605234,-1,55932.562130605234,-247251.03376757196,-1,247251.03376757196,-2196044.7488529966,-1,2196044.7488529966,-18408895.364352804,-1,18408895.364352804,-18993368.316141285,-1,18993368.316141285,-0.07653457164038843
268286,2023-01-04 14:59:35,qidao,Arbitrum,954089.23024,0.0,0.0,1,1,884549.0612440368,1,884549.0612440368,0.0,1,0.0,-2837.966217464669,-1,2837.966217464669,-1169.3070856561976,-1,1169.3070856561976,-183969.47708893238,-1,183969.47708893238,-133599.79086074152,-1,133599.79086074152,884549.0612440368,1,884549.0612440368,0.0
268287,2023-01-04 14:59:35,qidao,Avalanche,1667780.74229,0.0,0.0,1,1,1352365.8116077303,1,1352365.8116077303,0.0,1,0.0,9536.767534817012,1,9536.767534817012,-42567.14116175314,-1,42567.14116175314,-189221.9021428212,-1,189221.9021428212,-467723.7755405329,-1,467723.7755405329,1348255.592186753,1,1348255.592186753,0.0
268280,2023-01-04 14:59:35,pooltogether,Avalanche,191150.10369,4.114378668096654,4.114378668096654,1,1,-1184806.0459503625,-1,1184806.0459503625,4.114378668096654,1,4.114378668096654,-17984.660818672204,-1,17984.660818672204,-31962.387885464876,-1,31962.387885464876,-108291.5276226567,-1,108291.5276226567,-806217.4090785016,-1,806217.4090785016,-1184806.0459503625,-1,1184806.0459503625,0.002152433395887243
268249,2023-01-04 14:59:35,pendle,Ethereum,15256975.36074,-399088.4453911025,-399088.4453911025,1,1,-8701160.4018802,-1,8701160.4018802,-399088.4453911025,-1,399088.4453911025,-9943.97640922037,-1,9943.97640922037,7626404.112993924,1,7626404.112993924,9484594.764153995,1,9484594.764153995,8974408.08690072,1,8974408.08690072,-8697185.197733052,-1,8697185.197733052,-2.6157769541796374
268290,2023-01-04 14:59:35,qidao,Fantom,10089294.578000002,3.7941038889327383,3.7941038889327383,1,1,-2043718.4145603932,-1,2043718.4145603932,3.7941038889327383,1,3.7941038889327383,8981.984788393842,1,8981.984788393842,-1100450.0089269246,-1,1100450.0089269246,1804015.7089457158,1,1804015.7089457158,-7438085.611854221,-1,7438085.611854221,-2095154.2558735607,-1,2095154.2558735607,3.760524444598824e-05
268291,2023-01-04 14:59:35,qidao,Harmony,4074.49284,0.0,0.0,1,1,-16095.130731472374,-1,16095.130731472374,0.0,1,0.0,-10.569759996991998,-1,10.569759996991998,3.656966574429367,1,3.656966574429367,89.07599842360072,1,89.07599842360072,-4208.924726985183,-1,4208.924726985183,-14864.824975789523,-1,14864.824975789523,0.0
268292,2023-01-04 14:59:35,qidao,Metis,2454582.80609,2727.449400122586,2727.449400122586,1,1,2408062.518926511,1,2408062.518926511,2727.449400122586,1,2727.449400122586,10203.479560901522,1,10203.479560901522,295130.3169644472,1,295130.3169644472,1046062.8958579565,1,1046062.8958579565,2408062.518926511,1,2408062.518926511,2408062.518926511,1,2408062.518926511,0.11111661799942474
