,date,prices,total_volumes,symbol,prices_30dma,prices_30d_vwap,prices_90dma,prices_90d_vwap,prices_180dma,prices_180d_vwap,prices_365dma,prices_365d_vwap
286,2023-03-12 11:10:31,1.8723299869524523,288470049.8486173,op,2.5425087287065393,2.6045776341568665,1.9412317763405327,2.3341694143093297,1.4426699868579798,1.947957352642601,1.2878579128981165,1.693964222027018
285,2023-03-12 00:00:00,1.8765346365778277,399156648.64023703,op,2.560914630738471,2.618127084622379,1.9319940222089096,2.336393294672336,1.4388215803558144,1.9431054846226015,1.285814304247577,1.6930255468280357
284,2023-03-11 00:00:00,2.1388972164267757,461151387.4758466,op,2.5784062646146912,2.634244362084755,1.9224406307282353,2.341759519563361,1.4353827195969286,1.9398985489903207,1.28374160132712,1.6916794443169743
283,2023-03-10 00:00:00,2.1973138761130175,383243349.75911176,op,2.5992015845915133,2.6595501953398,1.9103065110878086,2.3429656177448734,1.4312745578872765,1.9347714885122307,1.2807304900063465,1.6878570461164046
282,2023-03-09 00:00:00,2.2345922103001747,297000444.5472472,op,2.6270657017925463,2.6885612679186712,1.8977827358533323,2.339470457561954,1.426798606934491,1.9277672462110798,1.2774916794547329,1.6842124348226764
281,2023-03-08 00:00:00,2.403660363297168,290010099.8513225,op,2.649579554035405,2.7084754271818277,1.8849752201981873,2.3368547346300312,1.4222254257803484,1.919742762715173,1.2740977059410965,1.6811440967352347
280,2023-03-07 00:00:00,2.5150312301647735,217501128.5475322,op,2.6674887140945356,2.724138057309403,1.8696242815582824,2.332148129462545,1.4154290074073461,1.9121786064329265,1.270077910007445,1.6771893831271512
279,2023-03-06 00:00:00,2.4300918116007324,217300410.20093143,op,2.6835747427973975,2.7362271625895302,1.8534449638397716,2.3279092418890714,1.4079757272207525,1.9044125122134852,1.2656316481497403,1.6737358445793296
278,2023-03-05 00:00:00,2.368444192092328,200412329.83217078,op,2.706016936976447,2.7615187591498103,1.8378813429692835,2.3228392296685234,1.4006074974575944,1.8938745402385315,1.261457955807622,1.6706081833409936
277,2023-03-04 00:00:00,2.538790026032367,313641538.182133,op,2.7207129804214554,2.7696506046845544,1.8234059395426039,2.318877659997333,1.3940964423378959,1.8882490458434178,1.2574759909289,1.6679365908553916
276,2023-03-03 00:00:00,2.7235177197656895,261739130.83900177,op,2.726810427753125,2.773209880062398,1.8067773802885716,2.3125112173562217,1.3864996448818736,1.8799121402687722,1.2528503084917033,1.662687538684156
275,2023-03-02 00:00:00,2.763184128897703,256387242.06275076,op,2.708463080804002,2.764484364969346,1.7888125899611,2.301773481098296,1.3780012704991675,1.8709874360785665,1.2475218033783917,1.6573245510393277
274,2023-03-01 00:00:00,2.7063292871273306,308905610.2081368,op,2.687356014374361,2.748223941947888,1.7698295230375654,2.2915237034125577,1.3694946737934601,1.8593276993850778,1.242010304012867,1.651820978731252
273,2023-02-28 00:00:00,2.8963610032659757,494232598.0798816,op,2.6767264858447035,2.741546022818799,1.7509528255218618,2.279973769495668,1.361022249658374,1.8482209667443397,1.236666074147486,1.6454598230118167
272,2023-02-27 00:00:00,3.0114080889408177,514069396.4466052,op,2.6526818139120034,2.7238962516045406,1.728685006450679,2.262706806722124,1.3511819824571996,1.8283520432933984,1.2305866055426562,1.6332691822048013
271,2023-02-26 00:00:00,2.7502918152388847,632254277.089555,op,2.6281316254341562,2.699057625727371,1.7049354661027654,2.2406859237027312,1.340444111187463,1.8052597929488938,1.2240394677360453,1.6191564324879018
270,2023-02-25 00:00:00,3.051631174285452,1013995033.0045218,op,2.6103995397295363,2.6802490224732187,1.6841997744640405,2.2218665962743827,1.3316900290260683,1.7822784199814985,1.218407540254485,1.6047283765938614
269,2023-02-24 00:00:00,2.897511506331352,737465179.7647203,op,2.5880272204424943,2.6292241358962984,1.6603747293091067,2.1742761627397376,1.3206443104048076,1.7380451741783676,1.2116178230914074,1.574511259071324
268,2023-02-23 00:00:00,2.7043120487835686,407252507.22692513,op,2.5576238739897885,2.5931967693543716,1.6384202229772133,2.1420710384837682,1.3102853275287194,1.707166142397749,1.2053505603284338,1.5541067452059594
267,2023-02-22 00:00:00,2.514183875584828,220515458.27987716,op,2.5402845831072307,2.5768827502153724,1.618903141625832,2.12405866829294,1.3009058944930396,1.6900482590268693,1.1997574204461383,1.5442262506251436
266,2023-02-21 00:00:00,2.5902443115042764,236486449.1675329,op,2.529472353920932,2.5646772793804438,1.6013359004766632,2.1138466266987708,1.2934924476297684,1.681883206174931,1.1948344749212743,1.539693559571964
265,2023-02-20 00:00:00,2.585312485981446,255501850.1245871,op,2.516943013633972,2.5447032227150994,1.5820860440867424,2.103214320174149,1.2859158840735339,1.6719325518249797,1.189588573279985,1.5344021720418926
264,2023-02-19 00:00:00,2.7769304555886944,183247208.7573447,op,2.5018939279311563,2.535341038362379,1.562782579324701,2.090372314093067,1.2789591394109592,1.6610285999777328,1.1843216905905454,1.5286520672435717
263,2023-02-18 00:00:00,2.8030683490470487,417011098.6482743,op,2.4676780375462823,2.5201313821987865,1.5413577080692764,2.079194353343358,1.2699993726017587,1.651728068848039,1.178289081632219,1.5237342487454666
262,2023-02-17 00:00:00,2.625784029285838,452143244.9955029,op,2.42975589058127,2.4893600673269125,1.5205633149230404,2.058392717032578,1.260993086177182,1.6332923435673163,1.1721112136952805,1.51216070217111
261,2023-02-16 00:00:00,2.828129215354648,385308856.5360511,op,2.400196578385407,2.468481846587878,1.501583767738294,2.038745175890232,1.2526875754274647,1.614245758403644,1.1665628441701257,1.5011293149639082
260,2023-02-15 00:00:00,2.4309540541868033,378399033.29226977,op,2.3656212152784515,2.4400904441520166,1.4800513512407472,2.0160010235370405,1.243752207612774,1.5939641330598597,1.1601966894912579,1.4898319451314002
259,2023-02-14 00:00:00,2.2107759421656246,327764289.2820075,op,2.345383413864219,2.423014547884658,1.463053978516156,2.0011977791459663,1.2369121855689393,1.5812614110698326,1.1553091611655057,1.4818970759843404
258,2023-02-13 00:00:00,2.332848295614103,202932287.478287,op,2.3292544753780873,2.3977724833913228,1.4488266415785795,1.9917372690485295,1.23194783707635,1.5722875986976848,1.151233999848903,1.476534862651283
257,2023-02-12 00:00:00,2.49679852468848,226486545.39317074,op,2.304349985551964,2.375757663291991,1.433177999182824,1.978457293200684,1.2270555695051277,1.56608835430024,1.14665409947772,1.472616598709874
256,2023-02-11 00:00:00,2.424507047910404,342771174.34134734,op,2.267545748654307,2.34758731125292,1.4154723094580226,1.9641430128214181,1.221753850138437,1.5587336681572586,1.1414006192239816,1.4673594186807148
255,2023-02-10 00:00:00,2.4012836528644246,534863707.8110978,op,2.22953837463341,2.331580182821022,1.3987169419067556,1.9485111254857346,1.2162899101482756,1.5477419391640803,1.1363884847369252,1.459865593661402
254,2023-02-09 00:00:00,2.762756815731439,412436074.1332487,op,2.191696856689728,2.313682796069525,1.3833363401229823,1.9195757399399673,1.2114951582733546,1.5318166107654172,1.1314281115285822,1.4482220702125899
253,2023-02-08 00:00:00,3.033237392144022,389852632.2107171,op,2.141440836841008,2.273180059467053,1.3642788861928223,1.8795975514984582,1.205269860095252,1.5150070619327822,1.1250055575750277,1.4355645316610235
252,2023-02-07 00:00:00,2.9100077775859168,401220868.41986865,op,2.0822542020237402,2.226389788115931,1.3393046512455549,1.828526748900125,1.1971141129457221,1.4948434164351423,1.117463139256573,1.4208894753492731
251,2023-02-06 00:00:00,2.940935165071093,382766054.3354068,op,2.021769334450599,2.188209545969765,1.3176969832021965,1.7733047174657475,1.1896142996897454,1.47586175659416,1.1103498668822502,1.406678328530673
250,2023-02-05 00:00:00,2.9976120912506294,339717745.8080106,op,1.9599717916884805,2.1439944941600486,1.2996473180347219,1.735617863521054,1.1823331588831638,1.4577804454719996,1.1030566983635697,1.3925815466499687
249,2023-02-04 00:00:00,3.1033576369722216,636252127.4188764,op,1.8941298566243057,2.104579094929577,1.2806345809826087,1.6997241659620257,1.1762269917620962,1.4435259696757357,1.0954784767920214,1.3793854319187457
