name	chain	nativeCurrency	chainId	explorer
('Ethereum Mainnet'	,'ETH'	,'ETH'	,1	,'https://etherscan.io')
,('Expanse Network'	,'EXP'	,'EXP'	,2	,'')
,('Ropsten'	,'ETH'	,'ETH'	,3	,'https://ropsten.etherscan.io')
,('Rinkeby'	,'ETH'	,'ETH'	,4	,'https://rinkeby.etherscan.io')
,('Goerli'	,'ETH'	,'ETH'	,5	,'https://goerli.etherscan.io')
,('Ethereum Classic Testnet Kotti'	,'ETC'	,'KOT'	,6	,'')
,('ThaiChain'	,'TCH'	,'TCH'	,7	,'')
,('Ubiq'	,'UBQ'	,'UBQ'	,8	,'https://ubiqscan.io')
,('Ubiq Network Testnet'	,'UBQ'	,'TUBQ'	,9	,'')
,('Optimism'	,'ETH'	,'ETH'	,10	,'https://optimistic.etherscan.io')
,('Metadium Mainnet'	,'META'	,'META'	,11	,'')
,('Metadium Testnet'	,'META'	,'KAL'	,12	,'')
,('Diode Testnet Staging'	,'DIODE'	,'sDIODE'	,13	,'')
,('Flare Mainnet'	,'FLR'	,'FLR'	,14	,'https://flare-explorer.flare.network')
,('Diode Prenet'	,'DIODE'	,'DIODE'	,15	,'')
,('Flare Testnet Coston'	,'FLR'	,'CFLR'	,16	,'https://coston-explorer.flare.network')
,('ThaiChain 2.0 ThaiFi'	,'TCH'	,'TFI'	,17	,'')
,('ThunderCore Testnet'	,'TST'	,'TST'	,18	,'https://explorer-testnet.thundercore.com')
,('Songbird Canary-Network'	,'SGB'	,'SGB'	,19	,'https://songbird-explorer.flare.network')
,('Elastos Smart Chain'	,'ETH'	,'ELA'	,20	,'https://esc.elastos.io')
,('Elastos Smart Chain Testnet'	,'ETH'	,'tELA'	,21	,'https://esc-testnet.elastos.io')
,('ELA-DID-Sidechain Mainnet'	,'ETH'	,'ELA'	,22	,'')
,('ELA-DID-Sidechain Testnet'	,'ETH'	,'tELA'	,23	,'')
,('KardiaChain Mainnet'	,'KAI'	,'KAI'	,24	,'')
,('Cronos Mainnet Beta'	,'CRO'	,'CRO'	,25	,'https://cronoscan.com')
,('Genesis L1 testnet'	,'genesis'	,'L1test'	,26	,'https://testnet.genesisl1.org')
,('ShibaChain'	,'SHIB'	,'SHIB'	,27	,'https://exp.shibachain.net')
,('Boba Network Rinkeby Testnet'	,'ETH'	,'ETH'	,28	,'https://blockexplorer.rinkeby.boba.network')
,('Genesis L1'	,'genesis'	,'L1'	,29	,'https://explorer.genesisl1.org')
,('RSK Mainnet'	,'RSK'	,'RBTC'	,30	,'https://explorer.rsk.co')
,('RSK Testnet'	,'RSK'	,'tRBTC'	,31	,'https://explorer.testnet.rsk.co')
,('GoodData Testnet'	,'GooD'	,'GooD'	,32	,'')
,('GoodData Mainnet'	,'GooD'	,'GooD'	,33	,'')
,('Dithereum Testnet'	,'DTH'	,'DTH'	,34	,'')
,('TBWG Chain'	,'TBWG'	,'TBG'	,35	,'')
,('Dxchain Mainnet'	,'Dxchain'	,'DX'	,36	,'https://dxscan.io')
,('SeedCoin-Network'	,'SeedCoin-Network'	,'SEED'	,37	,'')
,('Valorbit'	,'VAL'	,'VAL'	,38	,'')
,('Telos EVM Mainnet'	,'TLOS'	,'TLOS'	,40	,'https://teloscan.io')
,('Telos EVM Testnet'	,'TLOS'	,'TLOS'	,41	,'')
,('Kovan'	,'ETH'	,'ETH'	,42	,'https://kovan.etherscan.io')
,('Darwinia Pangolin Testnet'	,'pangolin'	,'PRING'	,43	,'https://pangolin.subscan.io')
,('Darwinia Crab Network'	,'crab'	,'CRAB'	,44	,'https://crab.subscan.io')
,('Darwinia Pangoro Testnet'	,'pangoro'	,'ORING'	,45	,'https://pangoro.subscan.io')
,('Darwinia Network'	,'darwinia'	,'RING'	,46	,'https://darwinia.subscan.io')
,('Ennothem Mainnet Proterozoic'	,'ETMP'	,'ETMP'	,48	,'https://etmscan.network')
,('Ennothem Testnet Pioneer'	,'ETMP'	,'ETMP'	,49	,'https://pioneer.etmscan.network')
,('XinFin XDC Network'	,'XDC'	,'XDC'	,50	,'https://xdcscan.io')
,('XDC Apothem Network'	,'XDC'	,'TXDC'	,51	,'https://apothem.xinfinscan.com')
,('CoinEx Smart Chain Mainnet'	,'CSC'	,'cet'	,52	,'https://www.coinex.net')
,('CoinEx Smart Chain Testnet'	,'CSC'	,'cett'	,53	,'https://testnet.coinex.net')
,('Openpiece Mainnet'	,'OPENPIECE'	,'BELLY'	,54	,'https://bellyscan.com')
,('Zyx Mainnet'	,'ZYX'	,'ZYX'	,55	,'https://zyxscan.com')
,('Binance Smart Chain Mainnet'	,'BSC'	,'BNB'	,56	,'https://bscscan.com')
,('Syscoin Mainnet'	,'SYS'	,'SYS'	,57	,'https://explorer.syscoin.org')
,('Ontology Mainnet'	,'Ontology'	,'ONG'	,58	,'https://explorer.ont.io')
,('EOS Mainnet'	,'EOS'	,'EOS'	,59	,'https://bloks.eosargentina.io')
,('GoChain'	,'GO'	,'GO'	,60	,'https://explorer.gochain.io')
,('Ethereum Classic Mainnet'	,'ETC'	,'ETC'	,61	,'https://blockscout.com/etc/mainnet')
,('Ethereum Classic Testnet Morden'	,'ETC'	,'TETC'	,62	,'')
,('Ethereum Classic Testnet Mordor'	,'ETC'	,'METC'	,63	,'')
,('Ellaism'	,'ELLA'	,'ELLA'	,64	,'')
,('OKExChain Testnet'	,'okexchain'	,'OKT'	,65	,'https://www.oklink.com/okexchain-test')
,('OKXChain Mainnet'	,'okxchain'	,'OKT'	,66	,'https://www.oklink.com/en/okc')
,('DBChain Testnet'	,'DBM'	,'DBM'	,67	,'')
,('SoterOne Mainnet'	,'SOTER'	,'SOTER'	,68	,'')
,('Optimism Kovan'	,'ETH'	,'ETH'	,69	,'https://kovan-optimistic.etherscan.io')
,('Hoo Smart Chain'	,'HSC'	,'HOO'	,70	,'https://www.hooscan.com')
,('Conflux eSpace (Testnet)'	,'Conflux'	,'CFX'	,71	,'https://evmtestnet.confluxscan.net')
,('DxChain Testnet'	,'DxChain'	,'DX'	,72	,'')
,('FNCY'	,'FNCY'	,'FNCY'	,73	,'https://fncyscan.fncy.world')
,('IDChain Mainnet'	,'IDChain'	,'EIDI'	,74	,'https://explorer.idchain.one')
,('Mix'	,'MIX'	,'MIX'	,76	,'')
,('POA Network Sokol'	,'POA'	,'SPOA'	,77	,'https://blockscout.com/poa/sokol')
,('PrimusChain mainnet'	,'PC'	,'PETH'	,78	,'')
,('Zenith Mainnet'	,'Zenith'	,'ZENITH'	,79	,'https://scan.zenithchain.co')
,('GeneChain'	,'GeneChain'	,'RNA'	,80	,'https://scan.genechain.io')
,('Zenith Testnet (Vilnius)'	,'Zenith'	,'VIL'	,81	,'https://vilnius.scan.zenithchain.co')
,('Meter Mainnet'	,'METER'	,'MTR'	,82	,'https://scan.meter.io')
,('Meter Testnet'	,'METER Testnet'	,'MTR'	,83	,'https://scan-warringstakes.meter.io')
,('GateChain Testnet'	,'GTTEST'	,'GT'	,85	,'https://www.gatescan.org/testnet')
,('GateChain Mainnet'	,'GT'	,'GT'	,86	,'https://www.gatescan.org')
,('Nova Network'	,'NNW'	,'SNT'	,87	,'https://explorer.novanetwork.io')
,('TomoChain'	,'TOMO'	,'TOMO'	,88	,'')
,('TomoChain Testnet'	,'TOMO'	,'TOMO'	,89	,'')
,('Garizon Stage0'	,'GAR'	,'GAR'	,90	,'https://explorer.garizon.com')
,('Garizon Stage1'	,'GAR'	,'GAR'	,91	,'https://explorer.garizon.com')
,('Garizon Stage2'	,'GAR'	,'GAR'	,92	,'https://explorer.garizon.com')
,('Garizon Stage3'	,'GAR'	,'GAR'	,93	,'https://explorer.garizon.com')
,('CryptoKylin Testnet'	,'EOS'	,'EOS'	,95	,'https://kylin.eosargentina.io')
,('NEXT Smart Chain'	,'NSC'	,'NEXT'	,96	,'https://explorer.nextsmartchain.com')
,('Binance Smart Chain Testnet'	,'BSC'	,'tBNB'	,97	,'https://testnet.bscscan.com')
,('POA Network Core'	,'POA'	,'POA'	,99	,'https://blockscout.com/poa/core')
,('Gnosis'	,'GNO'	,'xDAI'	,100	,'https://gnosisscan.io')
,('EtherInc'	,'ETI'	,'ETI'	,101	,'')
,('Web3Games Testnet'	,'Web3Games'	,'W3G'	,102	,'')
,('Kaiba Lightning Chain Testnet'	,'tKLC'	,'tKAIBA'	,104	,'https://kaibascan.io')
,('Web3Games Devnet'	,'Web3Games'	,'W3G'	,105	,'https://explorer-devnet.web3games.org')
,('Velas EVM Mainnet'	,'Velas'	,'VLX'	,106	,'https://evmexplorer.velas.com')
,('Nebula Testnet'	,'NTN'	,'NBX'	,107	,'https://explorer.novanetwork.io')
,('ThunderCore Mainnet'	,'TT'	,'TT'	,108	,'https://viewblock.io/thundercore')
,('Proton Testnet'	,'XPR'	,'XPR'	,110	,'')
,('EtherLite Chain'	,'ETL'	,'ETL'	,111	,'')
,('Dehvo'	,'Dehvo'	,'Deh'	,113	,'https://explorer.dehvo.com')
,('DeBank Testnet'	,'DeBank'	,'ETH'	,115	,'')
,('DeBank Mainnet'	,'DeBank'	,'ETH'	,116	,'')
,('Fuse Mainnet'	,'FUSE'	,'FUSE'	,122	,'')
,('Fuse Sparknet'	,'fuse'	,'SPARK'	,123	,'')
,('Decentralized Web Mainnet'	,'DWU'	,'DWU'	,124	,'')
,('OYchain Testnet'	,'OYchain'	,'OY'	,125	,'https://explorer.testnet.oychain.io')
,('OYchain Mainnet'	,'OYchain'	,'OY'	,126	,'https://explorer.oychain.io')
,('Factory 127 Mainnet'	,'FETH'	,'FETH'	,127	,'')
,('Huobi ECO Chain Mainnet'	,'Heco'	,'HT'	,128	,'https://hecoinfo.com')
,('Alyx Chain Testnet'	,'Alyx Chain Testnet'	,'ALYX'	,135	,'https://testnet.alyxscan.com')
,('Polygon Mainnet'	,'Polygon'	,'MATIC'	,137	,'https://polygonscan.com')
,('Openpiece Testnet'	,'OPENPIECE'	,'BELLY'	,141	,'https://testnet.bellyscan.com')
,('DAX CHAIN'	,'DAX'	,'DAX'	,142	,'')
,('PHI Network v2'	,'PHI'	,'Φ'	,144	,'https://phiscan.com')
,('Lightstreams Testnet'	,'PHT'	,'PHT'	,162	,'')
,('Lightstreams Mainnet'	,'PHT'	,'PHT'	,163	,'')
,('AIOZ Network'	,'AIOZ'	,'AIOZ'	,168	,'https://explorer.aioz.network')
,('HOO Smart Chain Testnet'	,'ETH'	,'HOO'	,170	,'')
,('Latam-Blockchain Resil Testnet'	,'Resil'	,'usd'	,172	,'')
,('AME Chain Mainnet'	,'AME'	,'AME'	,180	,'https://amescan.io')
,('Seele Mainnet'	,'Seele'	,'Seele'	,186	,'https://seeleview.net')
,('BMC Mainnet'	,'BMC'	,'BTM'	,188	,'https://bmc.blockmeta.com')
,('BMC Testnet'	,'BMC'	,'BTM'	,189	,'https://bmctestnet.blockmeta.com')
,('Crypto Emergency'	,'CEM'	,'CEM'	,193	,'https://cemscan.com')
,('BitTorrent Chain Mainnet'	,'BTTC'	,'BTT'	,199	,'https://scan.bittorrentchain.io')
,('Arbitrum on xDai'	,'AOX'	,'xDAI'	,200	,'https://blockscout.com/xdai/arbitrum')
,('MOAC testnet'	,'MOAC'	,'mc'	,201	,'https://testnet.moac.io')
,('Freight Trust Network'	,'EDI'	,'0xF'	,211	,'')
,('MAP Makalu'	,'MAP'	,'MAP'	,212	,'https://testnet.mapscan.io')
,('SoterOne Mainnet old'	,'SOTER'	,'SOTER'	,218	,'')
,('Permission'	,'ASK'	,'ASK'	,222	,'')
,('LACHAIN Mainnet'	,'LA'	,'LA'	,225	,'https://scan.lachain.io')
,('LACHAIN Testnet'	,'TLA'	,'TLA'	,226	,'https://scan-test.lachain.io')
,('Energy Web Chain'	,'Energy Web Chain'	,'EWT'	,246	,'https://explorer.energyweb.org')
,('Oasys Mainnet'	,'Oasys'	,'OAS'	,248	,'https://explorer.oasys.games')
,('Fantom Opera'	,'FTM'	,'FTM'	,250	,'https://ftmscan.com')
,('Huobi ECO Chain Testnet'	,'Heco'	,'htt'	,256	,'')
,('Setheum'	,'Setheum'	,'SETM'	,258	,'')
,('SUR Blockchain Network'	,'SUR'	,'SRN'	,262	,'https://explorer.surnet.org')
,('High Performance Blockchain'	,'HPB'	,'HPB'	,269	,'https://hscan.org')
,('zkSync alpha testnet'	,'ETH'	,'ETH'	,280	,'https://zksync2-testnet.zkscan.io')
,('Boba Network'	,'ETH'	,'ETH'	,288	,'https://bobascan.com')
,('Optimism on Gnosis'	,'OGC'	,'xDAI'	,300	,'https://blockscout.com/xdai/optimism')
,('Filecoin - Mainnet'	,'FIL'	,'FIL'	,314	,'https://filfox.info/en')
,('KCC Mainnet'	,'KCC'	,'KCS'	,321	,'https://explorer.kcc.io/en')
,('KCC Testnet'	,'KCC'	,'tKCS'	,322	,'https://scan-testnet.kcc.network')
,('Web3Q Mainnet'	,'Web3Q'	,'W3Q'	,333	,'https://explorer.mainnet.web3q.io')
,('DFK Chain Test'	,'DFK'	,'JEWEL'	,335	,'https://explorer-test.dfkchain.com')
,('Shiden'	,'SDN'	,'SDN'	,336	,'https://shiden.subscan.io')
,('Cronos Testnet'	,'CRO'	,'TCRO'	,338	,'https://testnet.cronoscan.com')
,('Theta Mainnet'	,'Theta'	,'TFUEL'	,361	,'https://explorer.thetatoken.org')
,('Theta Sapphire Testnet'	,'Theta'	,'TFUEL'	,363	,'https://guardian-testnet-sapphire-explorer.thetatoken.org')
,('Theta Amber Testnet'	,'Theta'	,'TFUEL'	,364	,'https://guardian-testnet-amber-explorer.thetatoken.org')
,('Theta Testnet'	,'Theta'	,'TFUEL'	,365	,'https://testnet-explorer.thetatoken.org')
,('PulseChain Mainnet'	,'PLS'	,'PLS'	,369	,'')
,('Lisinski'	,'CRO'	,'LISINS'	,385	,'')
,('HyperonChain TestNet'	,'HPN'	,'HPN'	,400	,'https://testnet.hyperonchain.com')
,('SX Network Mainnet'	,'SX'	,'SX'	,416	,'https://explorer.sx.technology')
,('Optimism Goerli Testnet'	,'ETH'	,'ETH'	,420	,'')
,('Rupaya'	,'RUPX'	,'RUPX'	,499	,'')
,('Double-A Chain Mainnet'	,'AAC'	,'AAC'	,512	,'https://scan.acuteangle.com')
,('Double-A Chain Testnet'	,'AAC'	,'AAC'	,513	,'https://scan-testnet.acuteangle.com')
,('Gear Zero Network Mainnet'	,'GearZero'	,'GZN'	,516	,'')
,('XT Smart Chain Mainnet'	,'XSC'	,'XT'	,520	,'https://xscscan.pub')
,('F(x)Core Mainnet Network'	,'Fxcore'	,'FX'	,530	,'https://fx-evm.functionx.io')
,('Candle'	,'Candle'	,'CNDL'	,534	,'https://candleexplorer.com')
,('Vela1 Chain Mainnet'	,'VELA1'	,'CLASS'	,555	,'https://exp.velaverse.io')
,('Tao Network'	,'TAO'	,'TAO'	,558	,'')
,('Dogechain Testnet'	,'DC'	,'DOGE'	,568	,'https://explorer-testnet.dogechain.dog')
,('Metis Stardust Testnet'	,'ETH'	,'METIS'	,588	,'https://stardust-explorer.metis.io')
,('Astar'	,'ASTR'	,'ASTR'	,592	,'https://astar.subscan.io')
,('Acala Mandala Testnet'	,'mACA'	,'mACA'	,595	,'')
,('Karura Network Testnet'	,'KAR'	,'KAR'	,596	,'')
,('Acala Network Testnet'	,'ACA'	,'ACA'	,597	,'')
,('Metis Goerli Testnet'	,'ETH'	,'METIS'	,599	,'https://goerli.explorer.metisdevops.link')
,('Meshnyan testnet'	,'MeshTestChain'	,'MESHT'	,600	,'')
,('SX Network Testnet'	,'SX'	,'SX'	,647	,'https://explorer.toronto.sx.technology')
,('Pixie Chain Testnet'	,'PixieChain'	,'PCTT'	,666	,'')
,('Karura Network'	,'KAR'	,'KAR'	,686	,'')
,('Star Social Testnet'	,'SNS'	,'SNS'	,700	,'https://avastar.info')
,('BlockChain Station Mainnet'	,'BCS'	,'BCS'	,707	,'https://explorer.bcsdev.io')
,('BlockChain Station Testnet'	,'BCS'	,'tBCS'	,708	,'https://testnet.bcsdev.io')
,('Lycan Chain'	,'LYC'	,'LYC'	,721	,'https://explorer.lycanchain.com')
,('QL1'	,'QOM'	,'QOM'	,766	,'https://mainnet.qom.one')
,('OpenChain Testnet'	,'OpenChain Testnet'	,'TOPC'	,776	,'https://testnet.openchain.info')
,('cheapETH'	,'cheapETH'	,'cTH'	,777	,'')
,('Acala Network'	,'ACA'	,'ACA'	,787	,'')
,('Aerochain Testnet'	,'Aerochain'	,'TAero'	,788	,'https://testnet.aeroscan.id')
,('Haic'	,'Haic'	,'HAIC'	,803	,'')
,('Portal Fantasy Chain Test'	,'PF'	,'PFT'	,808	,'')
,('Qitmeer'	,'MEER'	,'MEER'	,813	,'https://evm.meerscan.com')
,('Callisto Mainnet'	,'CLO'	,'CLO'	,820	,'')
,('Callisto Testnet Deprecated'	,'CLO'	,'TCLO'	,821	,'')
,('Ambros Chain Mainnet'	,'ambroschain'	,'AMBROS'	,880	,'https://ambrosscan.com')
