,date,protocol,chain,usd_value,net_dollar_flow,net_dollar_flow_latest_price,rank_desc,mark_at_latest_price,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
238526,2022-12-07 00:00:00,renvm,Kava,0.0,0.0,0.0,1,1,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,
260375,2022-12-29 08:59:47,orbit-bridge,Ripple,18296725.90128,-4344.485904835462,-4344.485904835462,1,1,-10718009.8150468,-1,10718009.8150468,-4344.485904835462,-1,4344.485904835462,-284293.10295532795,-1,284293.10295532795,-738629.9440921389,-1,738629.9440921389,-4589398.058732742,-1,4589398.058732742,-10718009.8150468,-1,10718009.8150468,-10718009.8150468,-1,10718009.8150468,-0.02374460834291413
260374,2022-12-29 08:59:47,orbit-bridge,Polygon,373363.86435000005,-60.55679001515527,-60.55679001515527,1,1,161546.6728276533,1,161546.6728276533,-60.55679001515527,-1,60.55679001515527,11667.811467785601,1,11667.811467785601,53201.987206712394,1,53201.987206712394,130805.59765419534,1,130805.59765419534,161546.6728276533,1,161546.6728276533,161546.6728276533,1,161546.6728276533,-0.016219242352384675
260373,2022-12-29 08:59:47,orbit-bridge,Klaytn,1299585.42461,1789.9071425713962,1789.9071425713962,1,1,-1550478.2720946292,-1,1550478.2720946292,1789.9071425713962,1,1789.9071425713962,-18869.760093093504,-1,18869.760093093504,-79645.84407918456,-1,79645.84407918456,-483773.8323611168,-1,483773.8323611168,-1550478.2720946292,-1,1550478.2720946292,-1550478.2720946292,-1,1550478.2720946292,0.13772908719013524
260369,2022-12-29 08:59:47,orbit-bridge,Binance,3502107.78271,-2774.166527213944,-2774.166527213944,1,1,-2013763.648444962,-1,2013763.648444962,-2774.166527213944,-1,2774.166527213944,16982.19492239897,1,16982.19492239897,-194665.19101230582,-1,194665.19101230582,-1220493.4078092657,-1,1220493.4078092657,-2013763.648444962,-1,2013763.648444962,-2013763.648444962,-1,2013763.648444962,-0.07921419611669515
260371,2022-12-29 08:59:47,orbit-bridge,Ethereum,148943172.47933,-95087.55993153114,-95087.55993153114,1,1,-59021109.988085784,-1,59021109.988085784,-95087.55993153114,-1,95087.55993153114,1216398.954627758,1,1216398.954627758,-9322581.224689169,-1,9322581.224689169,-60290143.65079845,-1,60290143.65079845,-59021109.988085784,-1,59021109.988085784,-59021109.988085784,-1,59021109.988085784,-0.06384150300325259
260370,2022-12-29 08:59:47,orbit-bridge,Celo,52.05067,0.0,0.0,1,1,13.508074345366929,1,13.508074345366929,0.0,1,0.0,0.0,1,0.0,5.175928596397194,1,5.175928596397194,5.175928596397194,1,5.175928596397194,13.508074345366929,1,13.508074345366929,13.508074345366929,1,13.508074345366929,0.0
260372,2022-12-29 08:59:47,orbit-bridge,Heco,1354062.33729,0.0,0.0,1,1,-105329.04411675164,-1,105329.04411675164,0.0,1,0.0,-11835.743128889522,-1,11835.743128889522,-56593.17403819052,-1,56593.17403819052,-178742.2107546732,-1,178742.2107546732,-105329.04411675164,-1,105329.04411675164,-105329.04411675164,-1,105329.04411675164,0.0
260390,2022-12-29 13:59:47,dforce,Polygon,2979266.793,-34121.0517500001,-34121.0517500001,1,1,2929207.0813800013,1,2929207.0813800013,-34121.0517500001,-1,34121.0517500001,50853.964730001986,1,50853.964730001986,408671.93191000016,1,408671.93191000016,1890516.00924,1,1890516.00924,-18190451.480469998,-1,18190451.480469998,2929207.0813800013,1,2929207.0813800013,-1.1452835251334303
260388,2022-12-29 13:59:47,dforce,Optimism,7755232.49297,-15813.237920000218,-15813.237920000218,1,1,7749358.405640002,1,7749358.405640002,-15813.237920000218,-1,15813.237920000218,-508656.4214399997,-1,508656.4214399997,5924541.26846,1,5924541.26846,6453243.4352400005,1,6453243.4352400005,-1544777.7378799985,-1,1544777.7378799985,7749959.317000002,1,7749959.317000002,-0.2039041116347534
260385,2022-12-29 13:59:47,dforce,Ethereum,4767577.04985,-100939.32537999019,-100939.32537999019,1,1,-39730927.631450005,-1,39730927.631450005,-100939.32537999019,-1,100939.32537999019,22611.203339574597,1,22611.203339574597,-437302.3898372818,-1,437302.3898372818,673847.45469635,1,673847.45469635,-33225598.676970005,-1,33225598.676970005,-37491850.74107,-1,37491850.74107,-2.117203861092628
260378,2022-12-29 13:59:47,alpaca-finance,Fantom,4818777.51237,876.2640378506039,876.2640378506039,1,1,-9219159.027035384,-1,9219159.027035384,876.2640378506039,1,876.2640378506039,165955.08268768477,1,165955.08268768477,2395.718788195353,1,2395.718788195353,-2511747.774422863,-1,2511747.774422863,-2813586.0357060335,-1,2813586.0357060335,-9219159.027035384,-1,9219159.027035384,0.01818436388899878
260381,2022-12-29 13:59:47,dforce,Arbitrum,15856840.9769,440652.6594699994,440652.6594699994,1,1,-26248996.525210004,-1,26248996.525210004,440652.6594699994,1,440652.6594699994,1991753.53706,1,1991753.53706,8412652.1486,1,8412652.1486,10680383.84183,1,10680383.84183,-107124002.53832002,-1,107124002.53832002,-25571040.308860008,-1,25571040.308860008,2.778943549424096
260383,2022-12-29 13:59:47,dforce,Binance,12498378.76983,43732.61394999921,43732.61394999921,1,1,-90686619.03628999,-1,90686619.03628999,43732.61394999921,1,43732.61394999921,199053.69479999878,1,199053.69479999878,-5934365.177030001,-1,5934365.177030001,-6325668.62593,-1,6325668.62593,-47554173.85086,-1,47554173.85086,-83383839.45187,-1,83383839.45187,0.3499062938912201
260376,2022-12-29 13:59:47,alpaca-finance,Binance,371429364.63035,17537.32221001493,17537.32221001493,1,1,-186297812.73066506,-1,186297812.73066506,17537.32221001493,1,17537.32221001493,1459368.7591634013,1,1459368.7591634013,116571691.8219976,1,116571691.8219976,-97125265.38648188,-1,97125265.38648188,-59153404.766719036,-1,59153404.766719036,-186297812.73066506,-1,186297812.73066506,0.0047215766657189955
260394,2022-12-29 15:59:35,minswap,Cardano,22440770.81902,6168.342663597781,6168.342663597781,1,1,19956300.135599572,1,19956300.135599572,6168.342663597781,1,6168.342663597781,633939.5809134044,1,633939.5809134044,313623.32077565393,1,313623.32077565393,-134914.01419738616,-1,134914.01419738616,1411834.069473423,1,1411834.069473423,19956300.135599572,1,19956300.135599572,0.027487213845478576
260411,2022-12-29 16:59:35,yield-yak-aggregator,Avalanche,24463835.67672,-5909.816468868971,-5909.816468868971,1,1,-172496473.30966708,-1,172496473.30966708,-5909.816468868971,-1,5909.816468868971,-614322.5841163476,-1,614322.5841163476,-962838.0946267773,-1,962838.0946267773,-12166399.491737425,-1,12166399.491737425,-14732363.718010679,-1,14732363.718010679,-172496473.30966708,-1,172496473.30966708,-0.024157358424757587
260410,2022-12-29 16:59:35,tornado-cash,xDai,50150.1,0.0,0.0,1,1,-224023.8,-1,224023.8,0.0,1,0.0,0.0,1,0.0,-200.2,-1,200.2,-125825.69999999998,-1,125825.69999999998,-153052.9,-1,153052.9,-224023.8,-1,224023.8,0.0
260409,2022-12-29 16:59:35,tornado-cash,Polygon,328789.6562,-260878.04660000003,-260878.04660000003,1,1,-225507.41660000003,-1,225507.41660000003,-260878.04660000003,-1,260878.04660000003,-252546.2982,-1,252546.2982,-1100.4195999999938,-1,1100.4195999999938,-125133.4288,-1,125133.4288,-368797.7688000001,-1,368797.7688000001,-225507.41660000003,-1,225507.41660000003,-79.34496772651208
260407,2022-12-29 16:59:35,tornado-cash,Ethereum,145859771.66099,-196440.1020000035,-196440.1020000035,1,1,-152167357.17648113,-1,152167357.17648113,-196440.1020000035,-1,196440.1020000035,1093764.6300000001,1,1093764.6300000001,9410815.255999992,1,9410815.255999992,15247019.755999994,1,15247019.755999994,-148445458.322,-1,148445458.322,-152167357.17648113,-1,152167357.17648113,-0.13467736838130615
260406,2022-12-29 16:59:35,tornado-cash,Binance,20693021.735,-394239.75200000143,-394239.75200000143,1,1,20310034.695000004,1,20310034.695000004,-394239.75200000143,-1,394239.75200000143,262193.1249999941,1,262193.1249999941,1036606.7390000087,1,1036606.7390000087,1262105.165000002,1,1262105.165000002,-2843037.169999997,-1,2843037.169999997,20310034.695000004,1,20310034.695000004,-1.9051821287810649
