,tribe,address,score,attempts
0,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:298,400,2
1,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:196,400,1
2,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:669,400,1
3,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:22,400,1
4,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:289,400,1
5,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:276,400,1
6,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:501,400,3
7,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:314,400,2
8,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:278,400,6
9,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:488,400,2
10,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:605,400,2
11,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:97,400,2
12,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:109,400,1
13,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:296,400,1
14,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:61,400,2
15,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:47,400,1
16,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:39,400,1
17,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:135,400,11
18,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:143,400,1
19,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:650,400,2
20,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:606,400,20
21,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:640,400,5
22,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:101,400,2
23,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:369,400,3
24,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:144,400,2
25,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:301,400,5
26,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:443,400,1
27,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:14,400,3
28,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:30,400,2
29,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:192,400,1
30,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:414,400,2
31,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:703,400,1
32,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:156,400,3
33,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:123,400,4
34,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:191,400,1
35,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:6,400,3
36,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:493,400,1
37,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:602,400,2
38,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:138,400,1
39,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:386,400,1
