dt,num_txs,total_gas,avg_gas_price,total_gas_used
2021-07-21,638,13255282699,15000000,871446397
2021-07-22,1251,30591262499,15000000,1743325983
2021-07-23,5533,126296836548,15000000,7582254535
2021-07-24,2631,39203649225,15000000,3573193268
2021-07-25,723,8244144183,15000000,959947365
2021-07-26,4575,144853787781,15000000,6226241622
2021-07-27,9344,306921676420,15000000,12892129658
2021-07-28,8818,222722399529,15000000,12265973386
2021-07-29,6055,118644412025,15000000,8309116285
2021-07-30,699,18322084244,15000000,966785612
2021-07-31,17,303550272,15000000,13537813
2021-08-01,43,933830730,15000000,35869338
2021-08-02,13,422430208,15000000,10354207
2021-08-03,19,509960387,15000000,16427064
2021-08-04,35,997770705,15000000,29270119
2021-08-05,27,967750437,15000000,21536566
2021-08-06,23,761700402,15000000,19160900
2021-08-07,20,775060325,15000000,15971638
2021-08-08,51,1539040821,15000000,41169513
2021-08-09,35,1265580570,15000000,27940005
2021-08-10,31,1097540516,15000000,26412021
2021-08-11,35,1702250575,15000000,29038354
2021-08-12,29,1108540474,15000000,24217418
2021-08-13,46,1402910746,15000000,38254164
2021-08-14,29,988440469,15000000,23647151
2021-08-15,44,1133250729,15000000,36797920
2021-08-16,50,1802430800,15000000,39824006
2021-08-17,37,1261700650,15000000,31061054
2021-08-18,98,3005171618,15000000,82067895
2021-08-19,55,1526090905,15000000,47101026
2021-08-20,28,959570448,15000000,22301403
2021-08-21,36,955560565,15000000,29222214
2021-08-22,59,1340400944,15000000,46958644
2021-08-23,32,1364010610,15000000,28437914
2021-08-24,58,2705240953,15000000,47441432
2021-08-25,11,918050292,15000000,9889752
2021-08-26,20,1368590340,15000000,17650827
2021-08-27,12,984470279,15000000,10404138
2021-08-28,9,424310144,15000000,7168299
2021-08-29,16,823300261,15000000,12787478
2021-08-30,40,2444960639,15000000,33010016
2021-08-31,19,1584220288,15000000,15122605
2021-09-01,14,1132390208,15000000,11150354
2021-09-02,16,1103630256,15000000,12734951
2021-09-03,9,1239170144,15000000,7168323
2021-09-04,13,1004090208,15000000,10861411
2021-09-05,7,602060117,15000000,6136848
2021-09-06,17,1306030277,15000000,13582236
