num_txs,gas_used,num_users,proj_name,pct_txs,pct_gas_used
9319239,468275525223,1946081,USDT - Tether_USD,0.12307071560477635776,0.06017390648091001968
6001865,1010146660465,380369,opensea - WyvernExchange,0.07926117363373351134,0.12980492766492115468
4724462,688323950990,668655,uniswap_v2 - Router02,0.06239167373940864922,0.08845036484816993243
4169538,87560298000,3312937,{coinbase} - 0xa090e606e30bd747d4e6245a1517ebe430f0057e,0.05506329705690647114,0.01125159206384640240
2841179,156173403060,779598,USDC - USDC,0.03752086760423923964,0.02006844954380787348
2328417,402662435750,481039,axieinfinity - MainchainGatewayManager,0.03074928611835435840,0.05174255421668119386
1869265,293014608291,449523,uniswap_v3 - SwapRouter,0.02468568315556262463,0.03765269096318148509
1241830,46330679733,320063,WETH - WETH9,0.01639971962941173892,0.00595354196255056325
998178,203887570662,333491,{metamask} - 0x881d40237659c251811cec9c364ef91dc08d300c,0.01318202921514776638,0.02619977117914196438
933150,39439572405,323341,SHIB - SHIB,0.01232326354830014106,0.00506802729101714079
867194,31263042544,268255,SLP - SmoothLovePotion,0.01145224262927138458,0.00401733444739718500
667350,92354873765,82645,shibaswap - UniswapV2Router02,0.00881308463693736177,0.01186770018429825712
644047,86536616726,123070,sushi - Router02,0.00850534310506570321,0.01112004792384762608
606302,12732342064,333871,{binance} - 0x28c6c06298d514db089934071355e5743bf21d60,0.00800687921112519115,0.00163611959065603138
574484,107023901692,342,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf - 0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0.00758668781683722685,0.01375268598240248975
538319,126531718400,86749,oneinch_v3 - AggregationRouterV3,0.00710908954622234757,0.01625946132086357004
531440,23223615763,164601,MATIC - 0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0.00701824484821157045,0.00298425949638486855
509495,95403062932,37750,0x94235659cf8b805b2c658f9ea2d6d6ddbb17c8d7 - 0x94235659cf8b805b2c658f9ea2d6d6ddbb17c8d7,0.00672843718752738613,0.01225939575665137744
474751,19583872401,145865,LINK - 0x514910771af9ca656af840dff83e8264ecf986ca,0.00626960477181486392,0.00251654857646181366
465419,61587815019,170676,polygon - RootChainManager,0.00614636553328650630,0.00791410018610741444
420454,17097917236,153194,DAI - DAI,0.00555255366440227992,0.00219710067547828830
391901,18209500349,40144,0x9b9647431632af44be02ddd22477ed94d14aacaa - 0x9b9647431632af44be02ddd22477ed94d14aacaa,0.00517548015629038588,0.00233994029592517713
374094,53164186578,140,chainlink - Aggregator,0.00494031929897421955,0.00683165491033246855
367308,35001688413,139,0x0000000000007f150bd6f54c40a34d7c3d5e9f56 - 0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0.00485070276739969802,0.00449775444538728476
314124,17506059544,105502,xSHIB - 0xb4a81261b16b92af0b9f7c4a83f1e885132d81e4,0.00414835003895004395,0.00224954739914764760
314122,14447020764,37157,AXS - AXSToken,0.00414832362676861910,0.00185645763990486407
310984,109384467741,273764,wyvern - WyvernProxyRegistry,0.00410688291411302692,0.01405602124769719738
287117,53856458331,74767,zeroex - ExchangeProxy,0.00379169314707956020,0.00692061257196673843
286255,6011355000,170359,0x4ad64983349c49defe8d7a4686202d24b25d0ce8 - 0x4ad64983349c49defe8d7a4686202d24b25d0ce8,0.00378030949688544915,0.00077246555523330209
275990,28197129406,79321,HEX - HEX,0.00364474897572239825,0.00362336132578945337
263575,35646798028,15,0x0000006daea1723962647b7e189d311d757fb793 - 0x0000006daea1723962647b7e189d311d757fb793,0.00348079535952763187,0.00458065172178126195
235689,8945551491,20364,MOF - 0x653430560be843c4a3d143d0110e896c2ab8ac0d,0.00311253031392092584,0.00114951294664238069
206724,29181225182,47966,ethereumnameservice - ETHRegistrarController_3,0.00273001589643551236,0.00374981868690197913
203398,9033377306,31822,CHZ - 0x3506424f91fd33084466f402d5d97f05f8e3b4af,0.00268609243872598413,0.00116079865792507689
196220,11949179491,2,{gemini} - 0x5f65f7b609678448494de4c87521cdf6cef1e932,0.00259129911959219169,0.00153548236131416312
195512,10210753835,6,0x0b95993a39a363d99280ac950f5e4536ab5c5566 - 0x0b95993a39a363d99280ac950f5e4536ab5c5566,0.00258194920736779422,0.00131209280278803092
194663,74876859619,14829,strong - ServiceV9,0.00257073723635294471,0.00962175664882823443
188487,21485371619,188487,0xf6874c88757721a02f47592140905c4336dfbc61 - 0xf6874c88757721a02f47592140905c4336dfbc61,0.00248917642011300293,0.00276089326234512279
183686,8513366366,66586,UNI - UNI,0.00242577397860264664,0.00109397669524037580
182016,18778775769,32,0x4d246be90c2f36730bb853ad41d0a189061192d3 - 0x4d246be90c2f36730bb853ad41d0a189061192d3,0.00240371980711289554,0.00241309279704862953
179905,58096838578,24463,uniswap_v3 - NonfungibleTokenPositionManager,0.00237584174961896466,0.00746550597485164235
156936,8787256054,40047,0xf7a0383750fef5abace57cc4c9ff98e3790202b3 - 0xf7a0383750fef5abace57cc4c9ff98e3790202b3,0.00207251105204525632,0.00112917181346473551
144114,3026572997,17577,0xf598b81ef8c7b52a7f2a89253436e72ec6dc871f - 0xf598b81ef8c7b52a7f2a89253436e72ec6dc871f,0.00190318255693053263,0.00038891787135874094
142725,9749778094,35192,0x495f947276749ce646f68ac8c248420045cb7b5e - 0x495f947276749ce646f68ac8c248420045cb7b5e,0.00188483929693097319,0.00125285692639732569
140134,12731689968,116794,arbitrum - Inbox,0.00185062231589507793,0.00163603579562168298
138029,16725861022,38556,gnosis_safe - Safev1.1.1,0.00182282349494542160,0.00214929105353356698
136194,18708750908,21792,"{""more loot(mloot)""} - 0x1dfe7ca09e99d10835bf73044a23b73fc20623df",0.00179859031848812025,0.00240409452741848794
134402,7365436937,35928,BUSD - 0x4fabb145d64652a948d72533023f6e7a623c7c53,0.00177492500393145321,0.00094646653426316976
130594,5379750592,39209,SUSHI - SushiToken,0.00172463621049853574,0.00069130371240194026
124866,2622186000,9758,0xf0d9fcb4fefdbd3e7929374b4632f8ad511bd7e3 - 0xf0d9fcb4fefdbd3e7929374b4632f8ad511bd7e3,0.00164899172289776072,0.00033695370917455240
122529,2573109000,118515,0x6dfc34609a05bc22319fa4cce1d1e2929548c0d7 - 0x6dfc34609a05bc22319fa4cce1d1e2929548c0d7,0.00161812908890282161,0.00033064726211657882
121397,5030427623,42074,FNK - 0xb5fe099475d3030dde498c3bb6f3854f762a48ad,0.00160317979421635560,0.00064641533678540612
121091,21067922320,36026,AAVE - AAVEToken,0.00159913873045835330,0.00270725058036513862
120560,11798630411,31,0xffa397285ce46fb78c588a9e993286aac68c37cd - 0xffa397285ce46fb78c588a9e993286aac68c37cd,0.00159212629629005520,0.00151613664330681489
119227,11070371748,4,0x63c880aab2e8aad1a571d38a70a79b6c4729c468 - 0x63c880aab2e8aad1a571d38a70a79b6c4729c468,0.00157452257737039160,0.00142255462519812604
118478,18323139212,18850,foundation - market,0.00156463121542678467,0.00235454301151981031
117771,14670911260,34488,SNX - Synthetix,0.00155529450929309962,0.00188522780841164821
116349,12046208438,4,0x3fda25f27211a138adf211f4c060f2149674be6d - 0x3fda25f27211a138adf211f4c060f2149674be6d,0.00153651544830003013,0.00154795068491475860
116000,4011433427,52029,{kraken} - 0xfa52274dd61e1643d2205169732f29114bc240b3,0.00153190652264139352,0.00051547349132915670
113204,4542791473,28416,QNT - StandardToken,0.00149498229300945097,0.00058375356928680060
111765,9320203889,55,0xa24787320ede4cc19d800bf87b41ab9539c4da9d - 0xa24787320ede4cc19d800bf87b41ab9539c4da9d,0.00147597872847427023,0.00119765618101143027
110672,13835589252,9,0x00000000003b3cc22af3ae1eac0440bcee416b40 - 0x00000000003b3cc22af3ae1eac0440bcee416b40,0.00146154447132558882,0.00177788803581323790
109702,4100148411,18692,0xa80f2c8f61c56546001f5fc2eb8d6e4e72c45d4c - 0xa80f2c8f61c56546001f5fc2eb8d6e4e72c45d4c,0.00144873456333453579,0.00052687346178058962
108820,2285245109,17578,0x0392b64b8bfda184f0a72ce37d73dc7df978c4f7 - 0x0392b64b8bfda184f0a72ce37d73dc7df978c4f7,0.00143708679132617623,0.00029365644384134242
104945,4444058982,28071,ENJ - 0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,0.00138591318981552623,0.00057106633845783076
104623,11819081553,32085,AMP - AMP,0.00138166082860612512,0.00151876463695553221
